,QK Circuit Value,Key Feature,Query Feature
0,-0.4019,14956: legal terms and references to court proceedings,"15560:  multiple segments of structured data, likely in a programming context"
1,0.389,"15560:  multiple segments of structured data, likely in a programming context","15560:  multiple segments of structured data, likely in a programming context"
2,0.3718,14956: legal terms and references to court proceedings,14956: legal terms and references to court proceedings
3,-0.3574,"15560:  multiple segments of structured data, likely in a programming context",14956: legal terms and references to court proceedings
4,-0.3416,6412: conjunctions and their recurring use in sentences,6163:  LaTeX formatting commands and structure in a document
5,0.3384,6163:  LaTeX formatting commands and structure in a document,6163:  LaTeX formatting commands and structure in a document
6,0.3286,6412: conjunctions and their recurring use in sentences,6412: conjunctions and their recurring use in sentences
7,-0.3267,6163:  LaTeX formatting commands and structure in a document,6412: conjunctions and their recurring use in sentences
8,-0.3242,10788:  technical terms and parameters related to performance metrics,13805: conditional phrases or questions
9,0.3213,13805: conditional phrases or questions,13805: conditional phrases or questions
10,-0.3176,"8645: special characters or formatting symbols, indicating a focus on non-verbal elements in the text",8865: questions asking for definitions or explanations
11,0.3162,10788:  technical terms and parameters related to performance metrics,10788:  technical terms and parameters related to performance metrics
12,-0.315,13805: conditional phrases or questions,10788:  technical terms and parameters related to performance metrics
13,0.2747,10919: terminology related to measurements and experimental procedures in scientific contexts,10919: terminology related to measurements and experimental procedures in scientific contexts
14,-0.2744,11094: references to scientific studies and their results,10919: terminology related to measurements and experimental procedures in scientific contexts
15,0.2673,7221: legal terminology and references,8956: references to judgment or decision-making processes
16,-0.2659,"15560:  multiple segments of structured data, likely in a programming context",7400: key political figures and their roles
17,-0.2625,13492: numerical data and date representations,499: features and attributes related to product descriptions and specifications
18,-0.2585,7314:  punctuation marks such as quotation marks and apostrophes,8931:  restaurant reviews that mention food quality and dining experiences
19,0.2583,8931:  restaurant reviews that mention food quality and dining experiences,8931:  restaurant reviews that mention food quality and dining experiences
20,0.2566,499: features and attributes related to product descriptions and specifications,499: features and attributes related to product descriptions and specifications
21,0.2566,13492: numerical data and date representations,13492: numerical data and date representations
22,-0.2542,8931:  restaurant reviews that mention food quality and dining experiences,7314:  punctuation marks such as quotation marks and apostrophes
23,-0.2532,499: features and attributes related to product descriptions and specifications,13492: numerical data and date representations
24,0.253,7314:  punctuation marks such as quotation marks and apostrophes,7314:  punctuation marks such as quotation marks and apostrophes
25,0.2463,"15560:  multiple segments of structured data, likely in a programming context",15577: references to tutorials and guides
26,0.2454,14956: legal terms and references to court proceedings,"15015: <span command="""">JavaScript event handling and functions related to user interactions in web development.</span>"
27,0.244,7613: references and mentions of documents or documentation,"11957: Java access modifiers, specifically ""public"" and ""protected"""
