,OV Circuit Value,Value Feature,Output Feature
0,0.633,"13462:  occurrences of the word ""little.""",13158: mathematical equations and physical variables related to scientific concepts
1,-0.629,"13462:  occurrences of the word ""little.""",1391:  prepositions and their relationships in sentences
2,0.3972,"563: the context or formatting of sections in a document, particularly those marked with specific tags such as <bos>",5670: phrases related to implications and consequences in scientific contexts
3,-0.3918,"563: the context or formatting of sections in a document, particularly those marked with specific tags such as <bos>",8048:  occurrences of selectors and method calls within Objective-C or Swift code
4,-0.3894,867:  mathematical notation and formal expressions in the document,11482: numerical representations or indicators related to data or formatting elements
5,0.3792,867:  mathematical notation and formal expressions in the document,5764: different types of hats and roofs
6,0.363,8810:  references to constants in mathematical expressions or equations,13698:  mathematical or logical expressions and structures in the text
7,0.356,571: patterns of mathematical variables and operations in equations,13698:  mathematical or logical expressions and structures in the text
8,-0.3525,8810:  references to constants in mathematical expressions or equations,1467:  words and phrases related to social equity and representation issues
9,-0.3496,5764: symbols and punctuation marks that indicate changes in data or versioning,11482: numerical representations or indicators related to data or formatting elements
10,0.3494,8692: terms related to the implementation process in various contexts,11482: numerical representations or indicators related to data or formatting elements
11,-0.3477,571: patterns of mathematical variables and operations in equations,1467:  words and phrases related to social equity and representation issues
12,0.3425,12192:  components and classes related to the Java Swing framework,4743: formal titles and legal terminology related to court cases
13,0.3352,5764: symbols and punctuation marks that indicate changes in data or versioning,5764: different types of hats and roofs
14,-0.3337,8692: terms related to the implementation process in various contexts,5764: different types of hats and roofs
15,-0.3323,12192:  components and classes related to the Java Swing framework,8160: terms related to scientific research and medical conditions
16,-0.3179,867:  mathematical notation and formal expressions in the document,8048:  occurrences of selectors and method calls within Objective-C or Swift code
17,0.3176,867:  mathematical notation and formal expressions in the document,5670: phrases related to implications and consequences in scientific contexts
18,-0.3044,1302: shipping-related terms and phrases for large items,490: phrases related to self-awareness and personal identity
19,0.303,1302: shipping-related terms and phrases for large items,9249:  mathematical expressions or notations
20,0.295,2365: mathematical expressions and types related to programming or data structures,11482: numerical representations or indicators related to data or formatting elements
21,0.2917,6210: references to specific experimental methods and materials used in scientific research,13698:  mathematical or logical expressions and structures in the text
22,0.2913,14005: references to scientific research and studies,1600: past participles and auxiliary verbs expressing completed actions
23,0.2913,6508: terms and concepts related to statistical methods and assumptions in graphical models,879: conditional phrases and references to evidence or support
24,0.29,3156: references to alternative options or entities,11482: numerical representations or indicators related to data or formatting elements
25,0.2893,16200:  instances of phrases introducing or referencing specific scenarios,15170:  references to Muslims and related cultural or religious terms and events
26,-0.2878,9752: the presence of numerical values and their associated contexts or relationships,4743: formal titles and legal terminology related to court cases
27,-0.2869,6508: terms and concepts related to statistical methods and assumptions in graphical models,912:  references to structural models and their connections in a technical context
28,-0.2844,6210: references to specific experimental methods and materials used in scientific research,1467:  words and phrases related to social equity and representation issues
29,-0.2844,16200:  instances of phrases introducing or referencing specific scenarios,15386: references to user-related information and actions within a programming or software context
30,0.2834,1711: instances of various elements or entities in a list or catalog format,490: phrases related to self-awareness and personal identity
31,-0.2827,3156: references to alternative options or entities,5764: different types of hats and roofs
32,-0.2812,13607: phrases indicative of themes of responsibility and social dynamics,8160: terms related to scientific research and medical conditions
33,-0.2805,2365: mathematical expressions and types related to programming or data structures,5764: different types of hats and roofs
34,-0.2795,1711: instances of various elements or entities in a list or catalog format,9249:  mathematical expressions or notations
35,0.277,9752: the presence of numerical values and their associated contexts or relationships,8160: terms related to scientific research and medical conditions
36,-0.2761,16093: words related to physical interactions and conflicts,10853:  references to time-related events or durations
37,0.2761,16093: words related to physical interactions and conflicts,6374:  phrases related to marriage and family relationships
38,0.274,13607: phrases indicative of themes of responsibility and social dynamics,4743: formal titles and legal terminology related to court cases
39,0.2732,15661: words associated with evaluations or judgments in various contexts,879: conditional phrases and references to evidence or support
40,-0.271,16151: the presence of tilde symbols and numeric formats,15170:  references to Muslims and related cultural or religious terms and events
41,0.2708,7686:  structural elements and technical terms related to mechanical systems,3668:  phrases related to scientific methods and experimental processes
42,-0.2705,"501: names of individuals, particularly focusing on ""David Reese"" and other recurring names in various contexts",5042:  function calls and operations related to managing collections or data structures
43,-0.2703,513: expressions of unfortunate circumstances or negative outcomes,6374:  phrases related to marriage and family relationships
44,-0.2698,15661: words associated with evaluations or judgments in various contexts,912:  references to structural models and their connections in a technical context
45,0.269,513: expressions of unfortunate circumstances or negative outcomes,10853:  references to time-related events or durations
46,0.269,"501: names of individuals, particularly focusing on ""David Reese"" and other recurring names in various contexts",12557: elements related to character relationships and dynamics within a narrative
47,0.2686,16151: the presence of tilde symbols and numeric formats,15386: references to user-related information and actions within a programming or software context
48,0.2642,14048:  statements that indicate reliance on foundational or preceding evidence,3602: references to binding actions or concepts in programming contexts
49,-0.2622,14005: references to scientific research and studies,15958: sports matchups and results
50,-0.2607,7709:  numerical values and coding elements,13698:  mathematical or logical expressions and structures in the text
51,-0.259,5764: symbols and punctuation marks that indicate changes in data or versioning,5670: phrases related to implications and consequences in scientific contexts
52,-0.2588,7686:  structural elements and technical terms related to mechanical systems,2460: awards and accolades related to film and literature
53,-0.2583,9134: mathematical functions and operations related to combinatorial coefficients,3668:  phrases related to scientific methods and experimental processes
54,-0.2578,14048:  statements that indicate reliance on foundational or preceding evidence,14651: elements related to chemical compounds and their structural components
55,0.2576,9803: commenting styles in code,1391:  prepositions and their relationships in sentences
