,QK Circuit Value,Key Feature,Query Feature
0,-0.492,5815:  numerical or tabular data relevant to various contexts,9295: terms related to programming exceptions and errors in software development
1,0.475,5815:  numerical or tabular data relevant to various contexts,11541:  coding elements related to data parsing and storage operations
2,0.362,9295: terms related to programming exceptions and errors in software development,9295: terms related to programming exceptions and errors in software development
3,-0.36,9295: terms related to programming exceptions and errors in software development,11541:  coding elements related to data parsing and storage operations
4,-0.3591,"9289: numeric values and structured formats, particularly those that appear in data representations and web links",16287: terms related to quantification and measurement in various contexts
5,-0.3538,11541:  coding elements related to data parsing and storage operations,9295: terms related to programming exceptions and errors in software development
6,0.3503,"9289: numeric values and structured formats, particularly those that appear in data representations and web links",1522: terms related to population dynamics and genetic variation
7,-0.3457,14781: elements related to user interaction and token verification in a digital workspace,"9932: functions and events related to programming, particularly those involving event handling and listener methods"
8,-0.3433,14870: concepts related to medical research and treatment,"11671: terms related to statistical parameters and coefficients, particularly in the context of regression analysis"
9,0.3423,11541:  coding elements related to data parsing and storage operations,11541:  coding elements related to data parsing and storage operations
10,0.3376,12298: scientific or academic terminology and references,12298: scientific or academic terminology and references
11,-0.3372,"5945:  numerical parameters or attributes, particularly those related to maximum and minimum values",12298: scientific or academic terminology and references
12,0.335,"9932: functions and events related to programming, particularly those involving event handling and listener methods","9932: functions and events related to programming, particularly those involving event handling and listener methods"
13,0.3347,14781: elements related to user interaction and token verification in a digital workspace,14781: elements related to user interaction and token verification in a digital workspace
14,-0.333,"9932: functions and events related to programming, particularly those involving event handling and listener methods",14781: elements related to user interaction and token verification in a digital workspace
15,-0.332,6293: elements related to mold removal and cleaning,6599:  sections of text that contain scientific or technical jargon related to genetics or molecular biology
16,-0.3271,6599:  sections of text that contain scientific or technical jargon related to genetics or molecular biology,6293: elements related to mold removal and cleaning
17,-0.3252,12298: scientific or academic terminology and references,"5945:  numerical parameters or attributes, particularly those related to maximum and minimum values"
18,-0.3235,7786: punctuation marks that indicate emphasis or separation,1473: technical terms and data structures related to programming and coding contexts
19,0.3228,7786: punctuation marks that indicate emphasis or separation,7786: punctuation marks that indicate emphasis or separation
20,-0.3225,13264: terms related to analysis and metrics in complex systems,6643: phrases related to sports statistics and performances
21,0.3215,6599:  sections of text that contain scientific or technical jargon related to genetics or molecular biology,6599:  sections of text that contain scientific or technical jargon related to genetics or molecular biology
22,0.3206,6293: elements related to mold removal and cleaning,6293: elements related to mold removal and cleaning
23,-0.318,6966: elements of code and programming constructs,1023: comma-separated lists or sequences of items
24,0.317,13264: terms related to analysis and metrics in complex systems,1023: comma-separated lists or sequences of items
25,0.3164,6966: elements of code and programming constructs,6643: phrases related to sports statistics and performances
26,-0.316,14870: concepts related to medical research and treatment,14781: elements related to user interaction and token verification in a digital workspace
27,0.315,1473: technical terms and data structures related to programming and coding contexts,1473: technical terms and data structures related to programming and coding contexts
28,-0.3142,1473: technical terms and data structures related to programming and coding contexts,7786: punctuation marks that indicate emphasis or separation
29,0.311,"5945:  numerical parameters or attributes, particularly those related to maximum and minimum values","5945:  numerical parameters or attributes, particularly those related to maximum and minimum values"
30,0.311,14870: concepts related to medical research and treatment,"9932: functions and events related to programming, particularly those involving event handling and listener methods"
31,-0.31,6052: object properties and their associated methods in programming contexts,7507: numerical data and references related to statistics and measurements
32,-0.3074,11805: references to significant achievements or records in sports,"13351: definitions and explanations related to the term ""host,"" particularly in the context of events and leadership roles"
33,-0.3074,"13351: definitions and explanations related to the term ""host,"" particularly in the context of events and leadership roles",11805: references to significant achievements or records in sports
34,0.3032,11805: references to significant achievements or records in sports,11805: references to significant achievements or records in sports
35,0.3025,"13351: definitions and explanations related to the term ""host,"" particularly in the context of events and leadership roles","13351: definitions and explanations related to the term ""host,"" particularly in the context of events and leadership roles"
36,0.302,6052: object properties and their associated methods in programming contexts,6052: object properties and their associated methods in programming contexts
37,-0.3008,7507: numerical data and references related to statistics and measurements,6052: object properties and their associated methods in programming contexts
38,0.2998,7507: numerical data and references related to statistics and measurements,7507: numerical data and references related to statistics and measurements
