,QK Circuit Value,Key Feature,Query Feature
0,-0.492,5815:  numerical or tabular data relevant to various contexts,9295: terms related to programming exceptions and errors in software development
1,0.475,5815:  numerical or tabular data relevant to various contexts,11541:  coding elements related to data parsing and storage operations
2,-0.36,9295: terms related to programming exceptions and errors in software development,11541:  coding elements related to data parsing and storage operations
3,-0.3591,"9289: numeric values and structured formats, particularly those that appear in data representations and web links",16287: terms related to quantification and measurement in various contexts
4,-0.3538,11541:  coding elements related to data parsing and storage operations,9295: terms related to programming exceptions and errors in software development
5,0.3503,"9289: numeric values and structured formats, particularly those that appear in data representations and web links",1522: terms related to population dynamics and genetic variation
6,-0.3457,14781: elements related to user interaction and token verification in a digital workspace,"9932: functions and events related to programming, particularly those involving event handling and listener methods"
7,-0.3433,14870: concepts related to medical research and treatment,"11671: terms related to statistical parameters and coefficients, particularly in the context of regression analysis"
8,-0.3372,"5945:  numerical parameters or attributes, particularly those related to maximum and minimum values",12298: scientific or academic terminology and references
9,-0.333,"9932: functions and events related to programming, particularly those involving event handling and listener methods",14781: elements related to user interaction and token verification in a digital workspace
10,-0.332,6293: elements related to mold removal and cleaning,6599:  sections of text that contain scientific or technical jargon related to genetics or molecular biology
11,-0.3271,6599:  sections of text that contain scientific or technical jargon related to genetics or molecular biology,6293: elements related to mold removal and cleaning
12,-0.3252,12298: scientific or academic terminology and references,"5945:  numerical parameters or attributes, particularly those related to maximum and minimum values"
13,-0.3235,7786: punctuation marks that indicate emphasis or separation,1473: technical terms and data structures related to programming and coding contexts
14,-0.3225,13264: terms related to analysis and metrics in complex systems,6643: phrases related to sports statistics and performances
15,-0.318,6966: elements of code and programming constructs,1023: comma-separated lists or sequences of items
16,0.317,13264: terms related to analysis and metrics in complex systems,1023: comma-separated lists or sequences of items
17,0.3164,6966: elements of code and programming constructs,6643: phrases related to sports statistics and performances
18,-0.316,14870: concepts related to medical research and treatment,14781: elements related to user interaction and token verification in a digital workspace
19,-0.3142,1473: technical terms and data structures related to programming and coding contexts,7786: punctuation marks that indicate emphasis or separation
20,0.311,14870: concepts related to medical research and treatment,"9932: functions and events related to programming, particularly those involving event handling and listener methods"
21,-0.31,6052: object properties and their associated methods in programming contexts,7507: numerical data and references related to statistics and measurements
22,-0.3074,11805: references to significant achievements or records in sports,"13351: definitions and explanations related to the term ""host,"" particularly in the context of events and leadership roles"
23,-0.3074,"13351: definitions and explanations related to the term ""host,"" particularly in the context of events and leadership roles",11805: references to significant achievements or records in sports
24,-0.3008,7507: numerical data and references related to statistics and measurements,6052: object properties and their associated methods in programming contexts
25,0.2966,10438: biological processes and medical terminology related to diagnostics,14376: emphasis markers and formatting elements in documents
26,-0.2937,1522: terms related to population dynamics and genetic variation,16287: terms related to quantification and measurement in various contexts
27,-0.2817,16287: terms related to quantification and measurement in various contexts,1522: terms related to population dynamics and genetic variation
28,-0.2788,6293: elements related to mold removal and cleaning,9841: technical classifications and descriptions of systems or devices
29,-0.2786,6599:  sections of text that contain scientific or technical jargon related to genetics or molecular biology,2157: statistical terms related to probability density functions
30,-0.2786,6643: phrases related to sports statistics and performances,1023: comma-separated lists or sequences of items
31,-0.2786,1023: comma-separated lists or sequences of items,6643: phrases related to sports statistics and performances
32,0.2776,6599:  sections of text that contain scientific or technical jargon related to genetics or molecular biology,9841: technical classifications and descriptions of systems or devices
33,0.2754,6293: elements related to mold removal and cleaning,2157: statistical terms related to probability density functions
34,-0.2747,"9289: numeric values and structured formats, particularly those that appear in data representations and web links",4571:  semicolon-separated statements and variable assignments in code
35,0.2744,"9289: numeric values and structured formats, particularly those that appear in data representations and web links",14842: numerical values and related characters
36,-0.2625,15288: technical terminology and programming constructs related to data processing and validation,4578: instances of significant economic terminology related to health and medicine
37,0.2612,4584: phrases related to statistical measurements and observed data frequencies,8787:  references to fluid dynamics or methods involving fluid treatment
38,-0.2595,4578: instances of significant economic terminology related to health and medicine,15288: technical terminology and programming constructs related to data processing and validation
39,-0.2593,693:  references to companies and specific products associated with genetics and finance,16340: elements related to user preferences or session management
