,QK Circuit Value,Key Feature,Query Feature
0,0.3057,14956: legal terms and references to court proceedings,7950:  phrases related to technical specifications or characteristics
1,0.2773,"15560:  multiple segments of structured data, likely in a programming context",15577: references to tutorials and guides
2,0.267,"15560:  multiple segments of structured data, likely in a programming context",4092: references to educational backgrounds and achievements
3,0.259,14956: legal terms and references to court proceedings,7400: key political figures and their roles
4,0.2107,14956: legal terms and references to court proceedings,8863: words related to various types of activities
5,0.1965,14956: legal terms and references to court proceedings,2074:  keywords or indicators related to code or programming functionalities
6,0.1925,14956: legal terms and references to court proceedings,"15015: <span command="""">JavaScript event handling and functions related to user interactions in web development.</span>"
7,0.1791,13046:  mathematical symbols and parameters related to equations and functions,14376: emphasis markers and formatting elements in documents
8,0.1788,8644: terms related to training and testing data in machine learning contexts,10919: terminology related to measurements and experimental procedures in scientific contexts
9,0.1709,11939:  phrases and terms related to medical and health-related conditions,10919: terminology related to measurements and experimental procedures in scientific contexts
10,0.1683,9730: negations and expressions of doubt or uncertainty,10919: terminology related to measurements and experimental procedures in scientific contexts
11,0.1646,2894:  biomedical terms related to blood and immune system functions,1616: syntax elements and structures within programming or markup language contexts
12,0.1635,9377: phrases related to findings and results in a scientific or analytical context,10639: terms related to tax and health funding programs
13,0.1624,11052:  programming or coding terms related to functions and variables,1616: syntax elements and structures within programming or markup language contexts
14,0.1624,14060: specific chemical compounds and their variations,15577: references to tutorials and guides
15,0.1602,"15560:  multiple segments of structured data, likely in a programming context",14737: user queries and responses related to research or inquiry
16,0.1567,11094: references to scientific studies and their results,13043: terms related to inflammatory diseases and their associations
17,0.1565,8863: words related to various types of activities,"10990: references to specific software, technical terms, and business entities"
18,0.156,13983: references to image file formats and related elements,12607:  phrases related to transitions or changes in state
19,0.155,8863: words related to various types of activities,9511: punctuation and its use in sentence structure
20,0.153,10919: terminology related to measurements and experimental procedures in scientific contexts,748: terms related to political or societal structures and their consequences
21,0.1516,14975: terms related to diversity,10919: terminology related to measurements and experimental procedures in scientific contexts
22,0.151,9469: references to legal matters and court-related processes,"10990: references to specific software, technical terms, and business entities"
23,0.1504,"8645: special characters or formatting symbols, indicating a focus on non-verbal elements in the text","1251: terms related to management, analysis, and policy in the context of healthcare and organizational themes"
24,0.1498,33: keywords or phrases related to data structures and programming constructs,7950:  phrases related to technical specifications or characteristics
25,0.1488,16048:  code-related functions and methods for app development,10553: references to military threats and potential risks involving individuals
26,0.1466,10359: terms associated with gradient descent algorithms and their applications in linear regression and optimization,4191: locations and geopolitical references
27,0.1465,1417: references to specific gene sequences and their corresponding classifications or codes,13442: terms related to local contexts and connections
28,0.1462,1417: references to specific gene sequences and their corresponding classifications or codes,791: references to figures and diagrams in the text
29,0.1462,7748: code segments that involve object instantiation and assignments,2107: references to emotional states and moral values
30,0.1453,"3552: phrases and synonyms related to the term ""great.""",10919: terminology related to measurements and experimental procedures in scientific contexts
31,0.145,11094: references to scientific studies and their results,10420: names of athletes and their achievements in sports contexts
32,0.1448,7221: legal terminology and references,1306: code snippets related to file operations and handling
33,0.1447,6412: conjunctions and their recurring use in sentences,791: references to figures and diagrams in the text
34,0.1447,1417: references to specific gene sequences and their corresponding classifications or codes,5556: legal terms and references related to court cases and plaintiffs
35,0.1439,2527: references to presence or existence in various contexts,1594: quantities and values related to time and costs
36,0.1438,1455: references to film sequels and reboots,10716: instances of actions and outcomes related to processes and evaluations
37,0.1431,"15560:  multiple segments of structured data, likely in a programming context",11044: phrases related to criminal activity and societal issues
38,0.1415,9009:  programming-related terms and code structure elements,10919: terminology related to measurements and experimental procedures in scientific contexts
39,0.1415,14001: phrases indicating the existence or presence of certain conditions or definitions,11370: the beginning of a document or passage
40,0.1403,10919: terminology related to measurements and experimental procedures in scientific contexts,11130:  numbers and mathematical operations
41,0.1401,4627: references to significant figures or events in revolutionary contexts,"10990: references to specific software, technical terms, and business entities"
42,0.1393,13676: elements and structures in programming or code syntax,14625: code related to timing operations and exceptions
43,0.1382,9496:  references to user-related data and account attributes in a software context,9944:  instances of numeric values and related formatting
44,0.1381,2359: technical terms and conditions related to data processing and filtering techniques,9218: references to retirement and related terms
45,0.1381,"1178: elements of mathematical notation or models, particularly those related to tuberculosis and statistical components",4092: references to educational backgrounds and achievements
46,0.138,14481: terms related to medical conditions affecting the lungs and their associated treatments,10553: references to military threats and potential risks involving individuals
47,0.1377,611: words related to comments and their statuses,9598: medical and scientific terms related to health treatments and assessments
48,0.1372,10420: names of athletes and their achievements in sports contexts,"15335: references to academic departments, institutions, and legal entities"
49,0.135,2848:  conditional expressions in code,4191: locations and geopolitical references
50,0.1349,10919: terminology related to measurements and experimental procedures in scientific contexts,14045: Java import statements and declarations in a codebase
