,QK Circuit Value,Key Feature,Query Feature
0,0.475,5815:  numerical or tabular data relevant to various contexts,11541:  coding elements related to data parsing and storage operations
1,0.3503,"9289: numeric values and structured formats, particularly those that appear in data representations and web links",1522: terms related to population dynamics and genetic variation
2,0.317,13264: terms related to analysis and metrics in complex systems,1023: comma-separated lists or sequences of items
3,0.3164,6966: elements of code and programming constructs,6643: phrases related to sports statistics and performances
4,0.311,14870: concepts related to medical research and treatment,"9932: functions and events related to programming, particularly those involving event handling and listener methods"
5,0.2966,10438: biological processes and medical terminology related to diagnostics,14376: emphasis markers and formatting elements in documents
6,0.2776,6599:  sections of text that contain scientific or technical jargon related to genetics or molecular biology,9841: technical classifications and descriptions of systems or devices
7,0.2754,6293: elements related to mold removal and cleaning,2157: statistical terms related to probability density functions
8,0.2744,"9289: numeric values and structured formats, particularly those that appear in data representations and web links",14842: numerical values and related characters
9,0.2612,4584: phrases related to statistical measurements and observed data frequencies,8787:  references to fluid dynamics or methods involving fluid treatment
10,0.2452,"8252:  mentions of the ""mi"" RNA family",1868: technical terminology and references related to organizations or specific fields
11,0.2415,"6591: specific identifiers, likely related to names or references in academic or technical contexts",8437: data references and statistics related to biological experiments
12,0.2406,7116: details related to software updates and version releases,13744: terms related to health conditions and their classifications
13,0.2385,693:  references to companies and specific products associated with genetics and finance,1942:  rankings and positions of institutions or programs
14,0.2374,16340: elements related to user preferences or session management,1745: questions and mathematical operations involving problem-solving
15,0.2322,5635: the interactions and relationships between variables in a data set,6052: object properties and their associated methods in programming contexts
16,0.2285,7017:  technical and programming-related terminology,3561: significant contextual markers or structural cues within scientific or technical writing
17,0.2151,693:  references to companies and specific products associated with genetics and finance,12401:  citations and references in scientific literature
18,0.2133,10438: biological processes and medical terminology related to diagnostics,3036: queries related to SQL and data manipulation
19,0.2097,"13351: definitions and explanations related to the term ""host,"" particularly in the context of events and leadership roles",619: names of individuals and their affiliations or roles in a social context
20,0.209,11805: references to significant achievements or records in sports,11205:  technical terms related to protocols and guidelines in emergency preparedness
21,0.2087,11805: references to significant achievements or records in sports,7507: numerical data and references related to statistics and measurements
22,0.2067,4584: phrases related to statistical measurements and observed data frequencies,8767:  concepts related to environmental sustainability and privacy in data handling
23,0.2031,11541:  coding elements related to data parsing and storage operations,5815:  numerical or tabular data relevant to various contexts
