,QK Circuit Value,Key Feature,Query Feature
0,1.921,8848:  numerical data and statistics,8848:  numerical data and statistics
1,-1.862,8003: sentences that express opinions or reflections on societal issues,8848:  numerical data and statistics
2,-1.802,8848:  numerical data and statistics,8003: sentences that express opinions or reflections on societal issues
3,1.75,8003: sentences that express opinions or reflections on societal issues,8003: sentences that express opinions or reflections on societal issues
4,1.396,5549: statistical numbers and numerical data related to measurements,5549: statistical numbers and numerical data related to measurements
5,-1.3125,406: issues related to functionality and errors in programming or web development,5549: statistical numbers and numerical data related to measurements
6,1.274,6409: conditional statements and expressions of uncertainty or potential outcomes,6409: conditional statements and expressions of uncertainty or potential outcomes
7,-1.216,15108:  concepts and discussions related to health care policies and decision-making processes,6409: conditional statements and expressions of uncertainty or potential outcomes
8,1.214,3673: terms and phrases related to reproductive health and fertility,3673: terms and phrases related to reproductive health and fertility
9,-1.1875,13552: information related to scientific methodologies or experimental processes,13975: distinctive or important identifiers in a dataset
10,-1.179,3673: terms and phrases related to reproductive health and fertility,5549: statistical numbers and numerical data related to measurements
11,-1.168,5549: statistical numbers and numerical data related to measurements,3673: terms and phrases related to reproductive health and fertility
12,-1.159,5549: statistical numbers and numerical data related to measurements,406: issues related to functionality and errors in programming or web development
13,1.125,12028: terms related to energy efficiency and the operation of air conditioning systems,13975: distinctive or important identifiers in a dataset
14,1.087,406: issues related to functionality and errors in programming or web development,406: issues related to functionality and errors in programming or web development
15,1.086,3598: terms associated with technical specifications and measurements,3598: terms associated with technical specifications and measurements
16,-1.085,3598: terms associated with technical specifications and measurements,2989: statistical significance indicators in research findings
17,-1.069,6409: conditional statements and expressions of uncertainty or potential outcomes,15108:  concepts and discussions related to health care policies and decision-making processes
18,-1.06,2989: statistical significance indicators in research findings,3598: terms associated with technical specifications and measurements
19,1.044,15108:  concepts and discussions related to health care policies and decision-making processes,15108:  concepts and discussions related to health care policies and decision-making processes
20,1.028,406: issues related to functionality and errors in programming or web development,3673: terms and phrases related to reproductive health and fertility
21,1.0205,2989: statistical significance indicators in research findings,2989: statistical significance indicators in research findings
22,-0.9956,12028: terms related to energy efficiency and the operation of air conditioning systems,13552: information related to scientific methodologies or experimental processes
23,0.987,13552: information related to scientific methodologies or experimental processes,13552: information related to scientific methodologies or experimental processes
24,-0.981,6304: legal terminology and concepts related to discrimination and harassment cases,16281: keywords and structure related to programming logic and operations
25,0.9697,16025: opinions and expressions of personal beliefs,16025: opinions and expressions of personal beliefs
26,0.9336,3673: terms and phrases related to reproductive health and fertility,406: issues related to functionality and errors in programming or web development
27,-0.878,6304: legal terminology and concepts related to discrimination and harassment cases,13552: information related to scientific methodologies or experimental processes
28,0.873,10012: numerical values or statistics related to data analysis,16281: keywords and structure related to programming logic and operations
29,-0.8438,13975: distinctive or important identifiers in a dataset,6304: legal terminology and concepts related to discrimination and harassment cases
30,-0.838,10012: numerical values or statistics related to data analysis,6304: legal terminology and concepts related to discrimination and harassment cases
31,0.826,6304: legal terminology and concepts related to discrimination and harassment cases,6304: legal terminology and concepts related to discrimination and harassment cases
32,0.8257,13552: information related to scientific methodologies or experimental processes,6304: legal terminology and concepts related to discrimination and harassment cases
33,-0.813,12028: terms related to energy efficiency and the operation of air conditioning systems,6304: legal terminology and concepts related to discrimination and harassment cases
34,0.8,13975: distinctive or important identifiers in a dataset,13975: distinctive or important identifiers in a dataset
35,0.7734,13975: distinctive or important identifiers in a dataset,16281: keywords and structure related to programming logic and operations
36,0.77,1369: descriptive terms related to horror and extreme negative experiences,5109: terms related to stem cell research and differentiation processes
37,-0.7617,13552: information related to scientific methodologies or experimental processes,16281: keywords and structure related to programming logic and operations
38,0.7534,10012: numerical values or statistics related to data analysis,13552: information related to scientific methodologies or experimental processes
39,0.7466,16281: keywords and structure related to programming logic and operations,16281: keywords and structure related to programming logic and operations
