,QK Circuit Value,Key Feature,Query Feature
0,0.3792,"4252:  references to the evaluation, validation, or targeting of certain subjects or concepts",12682: comparative phrases discussing advantages and disadvantages between different entities or options
1,-0.363,14956: legal terms and references to court proceedings,"15560:  multiple segments of structured data, likely in a programming context"
2,-0.3596,6412: conjunctions and their recurring use in sentences,6163:  LaTeX formatting commands and structure in a document
3,0.354,6163:  LaTeX formatting commands and structure in a document,6163:  LaTeX formatting commands and structure in a document
4,0.3518,"15560:  multiple segments of structured data, likely in a programming context","15560:  multiple segments of structured data, likely in a programming context"
5,0.347,11240: the presence of dialog-related components and confirmations,11240: the presence of dialog-related components and confirmations
6,0.347,13805: conditional phrases or questions,13805: conditional phrases or questions
7,-0.3452,10788:  technical terms and parameters related to performance metrics,13805: conditional phrases or questions
8,0.3438,6412: conjunctions and their recurring use in sentences,6412: conjunctions and their recurring use in sentences
9,0.3428,14956: legal terms and references to court proceedings,14956: legal terms and references to court proceedings
10,-0.3408,13805: conditional phrases or questions,10788:  technical terms and parameters related to performance metrics
11,-0.3396,6163:  LaTeX formatting commands and structure in a document,6412: conjunctions and their recurring use in sentences
12,0.3374,10788:  technical terms and parameters related to performance metrics,10788:  technical terms and parameters related to performance metrics
13,-0.3352,"15560:  multiple segments of structured data, likely in a programming context",14956: legal terms and references to court proceedings
14,0.3076,10919: terminology related to measurements and experimental procedures in scientific contexts,10919: terminology related to measurements and experimental procedures in scientific contexts
15,0.3005,2943: references to factors or elements that influence various outcomes or behaviors,5812: references to programming languages and relevant code elements
16,-0.2998,11094: references to scientific studies and their results,10919: terminology related to measurements and experimental procedures in scientific contexts
17,-0.2961,2943: references to factors or elements that influence various outcomes or behaviors,1602: references to legal and procedural concepts related to court cases and evidence
18,-0.2844,16266:  numerical data and mathematical expressions,7942: references to event registration and participation details
19,0.2837,329: terms and phrases related to emergency evacuation and escape scenarios,11240: the presence of dialog-related components and confirmations
20,0.2832,16266:  numerical data and mathematical expressions,16266:  numerical data and mathematical expressions
21,-0.2808,"8645: special characters or formatting symbols, indicating a focus on non-verbal elements in the text",8865: questions asking for definitions or explanations
22,0.2773,11094: references to scientific studies and their results,11094: references to scientific studies and their results
23,-0.2769,10919: terminology related to measurements and experimental procedures in scientific contexts,11094: references to scientific studies and their results
24,0.2747,14956: legal terms and references to court proceedings,"15015: <span command="""">JavaScript event handling and functions related to user interactions in web development.</span>"
25,-0.2688,"4374: elements of humor, particularly dark and inappropriate humor",5484:  references to notable achievements or events related to advancements and recognitions
26,0.2676,5484:  references to notable achievements or events related to advancements and recognitions,5484:  references to notable achievements or events related to advancements and recognitions
27,-0.264,14956: legal terms and references to court proceedings,11044: phrases related to criminal activity and societal issues
28,0.2634,13492: numerical data and date representations,13492: numerical data and date representations
29,-0.2625,5484:  references to notable achievements or events related to advancements and recognitions,"4374: elements of humor, particularly dark and inappropriate humor"
30,0.2625,7221: legal terminology and references,8956: references to judgment or decision-making processes
31,0.2617,"4374: elements of humor, particularly dark and inappropriate humor","4374: elements of humor, particularly dark and inappropriate humor"
32,0.2607,7942: references to event registration and participation details,7942: references to event registration and participation details
33,-0.26,499: features and attributes related to product descriptions and specifications,13492: numerical data and date representations
34,-0.26,7942: references to event registration and participation details,16266:  numerical data and mathematical expressions
35,-0.2593,13492: numerical data and date representations,499: features and attributes related to product descriptions and specifications
36,0.258,8931:  restaurant reviews that mention food quality and dining experiences,8931:  restaurant reviews that mention food quality and dining experiences
37,0.2568,5259:  instances of criticism and negative evaluations of actions or policies,"12852: the presence of the word ""both"" indicating comparisons or inclusiveness"
38,-0.2559,"8645: special characters or formatting symbols, indicating a focus on non-verbal elements in the text",10639: terms related to tax and health funding programs
39,-0.2544,7314:  punctuation marks such as quotation marks and apostrophes,8931:  restaurant reviews that mention food quality and dining experiences
40,-0.2542,8931:  restaurant reviews that mention food quality and dining experiences,7314:  punctuation marks such as quotation marks and apostrophes
41,0.254,499: features and attributes related to product descriptions and specifications,499: features and attributes related to product descriptions and specifications
42,0.2491,7314:  punctuation marks such as quotation marks and apostrophes,7314:  punctuation marks such as quotation marks and apostrophes
43,0.2488,"2585: specific alphanumeric sequences, especially relating to variable names or identifiers","2585: specific alphanumeric sequences, especially relating to variable names or identifiers"
44,-0.2451,"15560:  multiple segments of structured data, likely in a programming context","15015: <span command="""">JavaScript event handling and functions related to user interactions in web development.</span>"
45,-0.2446,14620: mathematical symbols and expressions related to functions and operations,1577: terms related to scientific reagents and their usage in experimental procedures
46,0.2429,5045:  commands or invitations to participate in activities or events,5812: references to programming languages and relevant code elements
47,0.2427,"3734: references to female subjects, particularly regarding their roles or identities",5812: references to programming languages and relevant code elements
48,0.2415,9009:  programming-related terms and code structure elements,9009:  programming-related terms and code structure elements
49,-0.2408,"4814: concepts related to health and well-being, especially in medical contexts",9009:  programming-related terms and code structure elements
50,-0.2399,"3734: references to female subjects, particularly regarding their roles or identities",1602: references to legal and procedural concepts related to court cases and evidence
51,-0.2396,9009:  programming-related terms and code structure elements,"4814: concepts related to health and well-being, especially in medical contexts"
