,OV Circuit Value,Value Feature,Output Feature
0,1.029,3732: punctuation marks,"8805: phrases related to experimentation, particularly in scientific or technical contexts"
1,-1.007,"2012: instances of the word ""already"" in various contexts","8805: phrases related to experimentation, particularly in scientific or technical contexts"
2,-0.99,3732: punctuation marks,15340:  concepts related to citizenship and government representation
3,0.977,"2012: instances of the word ""already"" in various contexts",15340:  concepts related to citizenship and government representation
4,0.7754,11541:  coding elements related to data parsing and storage operations,14952:  punctuation marks and formatting elements in the text
5,-0.774,9295: terms related to programming exceptions and errors in software development,14952:  punctuation marks and formatting elements in the text
6,0.7725,9295: terms related to programming exceptions and errors in software development,3009: pronouns and their contextual implications
7,-0.7695,11541:  coding elements related to data parsing and storage operations,3009: pronouns and their contextual implications
8,-0.644,1745: questions and mathematical operations involving problem-solving,15297: numerical values and mathematical signs
9,0.6416,1942:  rankings and positions of institutions or programs,15297: numerical values and mathematical signs
10,0.64,1745: questions and mathematical operations involving problem-solving,15275: terms related to comparisons and evaluations of technology or products
11,-0.6377,1942:  rankings and positions of institutions or programs,15275: terms related to comparisons and evaluations of technology or products
12,0.625,13430: mathematical constructs and expressions,16109: phrases that express opinion or perspective
13,-0.6245,13430: mathematical constructs and expressions,5534:  LaTeX formatting commands and syntax used in scientific documents
14,0.6206,2565: references to rural locations and related entities,5534:  LaTeX formatting commands and syntax used in scientific documents
15,-0.6206,2565: references to rural locations and related entities,16109: phrases that express opinion or perspective
16,0.556,6052: object properties and their associated methods in programming contexts,"7478: code structure elements, such as class declarations and method definitions"
17,-0.555,6052: object properties and their associated methods in programming contexts,"10626: terms related to classification, specifications, and specific attributes"
18,0.5513,7507: numerical data and references related to statistics and measurements,"10626: terms related to classification, specifications, and specific attributes"
19,-0.549,7507: numerical data and references related to statistics and measurements,"7478: code structure elements, such as class declarations and method definitions"
20,0.5464,12298: scientific or academic terminology and references,7539:  references to specific variables and mathematical expressions
21,0.5464,"5945:  numerical parameters or attributes, particularly those related to maximum and minimum values",13026: quoted names or titles
22,-0.5454,12298: scientific or academic terminology and references,13026: quoted names or titles
23,-0.539,"5945:  numerical parameters or attributes, particularly those related to maximum and minimum values",7539:  references to specific variables and mathematical expressions
24,0.4768,6560: quantitative data or metrics related to experimental procedures,4181:  references to temporal context relating to events or actions
25,0.4736,"9932: functions and events related to programming, particularly those involving event handling and listener methods",6981: references to political figures and events
26,0.473,9681: historical references related to laws and legal cases,9755: terms related to naming and classification
27,-0.4717,9681: historical references related to laws and legal cases,5337:  instances of negation and expressions of disagreement
28,-0.4683,"9932: functions and events related to programming, particularly those involving event handling and listener methods",7095: phrases or terms related to authority figures and their actions
29,-0.4678,8437: data references and statistics related to biological experiments,9755: terms related to naming and classification
30,0.4678,8437: data references and statistics related to biological experiments,5337:  instances of negation and expressions of disagreement
31,0.4631,8117: names of countries and items related to gender equality and healthcare,10332:  quantifiable measurements or numerical data
32,0.463,1023: comma-separated lists or sequences of items,7269: references to anniversaries and significant celebrations
33,-0.4612,8117: names of countries and items related to gender equality and healthcare,13568: terms related to zoning and land use regulations
34,-0.4612,829:  mathematical expressions and formulas,10332:  quantifiable measurements or numerical data
35,0.461,829:  mathematical expressions and formulas,13568: terms related to zoning and land use regulations
36,-0.4592,1023: comma-separated lists or sequences of items,10612: technical terms and processes in scientific or mathematical contexts
37,-0.4573,14781: elements related to user interaction and token verification in a digital workspace,6981: references to political figures and events
38,0.4548,14781: elements related to user interaction and token verification in a digital workspace,7095: phrases or terms related to authority figures and their actions
39,-0.4531,6643: phrases related to sports statistics and performances,7269: references to anniversaries and significant celebrations
40,-0.453,9681: historical references related to laws and legal cases,14104: pieces of text signaling the beginning or end of sections and some specific references
41,0.4526,9681: historical references related to laws and legal cases,"3839: complex relationships in texts, particularly phrases that indicate understanding or connections between ideas"
42,0.4524,6643: phrases related to sports statistics and performances,10612: technical terms and processes in scientific or mathematical contexts
43,0.451,8437: data references and statistics related to biological experiments,14104: pieces of text signaling the beginning or end of sections and some specific references
44,-0.4478,8437: data references and statistics related to biological experiments,"3839: complex relationships in texts, particularly phrases that indicate understanding or connections between ideas"
45,-0.4424,"2012: instances of the word ""already"" in various contexts",8487:  scientific measurements and their implications
46,0.441,3732: punctuation marks,8487:  scientific measurements and their implications
47,0.44,169: dialogue and interactions among characters with emotional undertones,1009:  terms related to legal proceedings and entities involved in cases
48,-0.43,5188: jQuery syntax elements and functions,1009:  terms related to legal proceedings and entities involved in cases
49,-0.4219,2036: technical terms and references related to theories and formulas in physics and mathematics,2337:  comparative language and indicators of difference
50,0.4216,14802: phrases indicating existence or introduction of concepts,2337:  comparative language and indicators of difference
51,0.4216,2036: technical terms and references related to theories and formulas in physics and mathematics,1444: elements of code related to user interface components and styling
52,-0.4207,14802: phrases indicating existence or introduction of concepts,1444: elements of code related to user interface components and styling
53,-0.417,8174:  numerical data and statistical representations,4181:  references to temporal context relating to events or actions
54,-0.4167,3732: punctuation marks,738: entities related to organizations and institutional frameworks
55,0.413,334: references to positions of authority or leadership roles,2689: phrases that discuss methods or ways of doing things
56,0.4104,11412: statistical references and data,7301: the presence of specific verbs and phrases indicating actions or events
57,-0.4084,10640:  keywords and references related to academic or scientific sources,14952:  punctuation marks and formatting elements in the text
58,0.406,"2012: instances of the word ""already"" in various contexts",738: entities related to organizations and institutional frameworks
59,0.406,8174:  numerical data and statistical representations,443: import statements from specific Java packages related to the Apache Commons RDF library
60,0.406,10640:  keywords and references related to academic or scientific sources,3009: pronouns and their contextual implications
61,-0.4055,13744: terms related to health conditions and their classifications,7301: the presence of specific verbs and phrases indicating actions or events
62,0.4043,5718: mathematical expressions and symbols related to set notation and functions,3088: instances of speech or reporting statements from individuals
63,-0.4043,6560: quantitative data or metrics related to experimental procedures,443: import statements from specific Java packages related to the Apache Commons RDF library
64,-0.4036,11412: statistical references and data,9202:  numerical data and formatting symbols
65,0.4014,13744: terms related to health conditions and their classifications,9202:  numerical data and formatting symbols
66,0.4006,5188: jQuery syntax elements and functions,8241:  programming data structures and functions related to arrays and lists
67,-0.3955,169: dialogue and interactions among characters with emotional undertones,8241:  programming data structures and functions related to arrays and lists
68,-0.3918,5718: mathematical expressions and symbols related to set notation and functions,9985: discussions about tailored programs for specific racial or ethnic minority groups
69,0.3877,7796: elements related to code syntax and structure in programming,3675: numerical values and financial figures related to donations and earnings
70,-0.3867,7325:  occurrences of the brace symbol '{' in the text,3675: numerical values and financial figures related to donations and earnings
71,0.3755,14781: elements related to user interaction and token verification in a digital workspace,"10626: terms related to classification, specifications, and specific attributes"
72,-0.3755,"9932: functions and events related to programming, particularly those involving event handling and listener methods","10626: terms related to classification, specifications, and specific attributes"
73,0.374,"9932: functions and events related to programming, particularly those involving event handling and listener methods","7478: code structure elements, such as class declarations and method definitions"
74,-0.3706,14781: elements related to user interaction and token verification in a digital workspace,"7478: code structure elements, such as class declarations and method definitions"
75,0.365,3632: references to legal circuits and courts,13525: references to stone and related materials
76,0.358,2036: technical terms and references related to theories and formulas in physics and mathematics,12969: numbers and code-like sequences within the text
77,-0.356,10028: various genres and elements of music,3088: instances of speech or reporting statements from individuals
78,-0.3547,14802: phrases indicating existence or introduction of concepts,12969: numbers and code-like sequences within the text
79,0.3535,10028: various genres and elements of music,9985: discussions about tailored programs for specific racial or ethnic minority groups
80,0.3428,"13182:  proper nouns, particularly names and titles",14952:  punctuation marks and formatting elements in the text
81,-0.3423,7325:  occurrences of the brace symbol '{' in the text,2337:  comparative language and indicators of difference
82,-0.3416,7235: call-to-action phrases that encourage clicking or downloading,2689: phrases that discuss methods or ways of doing things
83,-0.3413,"13182:  proper nouns, particularly names and titles",3009: pronouns and their contextual implications
84,0.3413,7325:  occurrences of the brace symbol '{' in the text,1444: elements of code related to user interface components and styling
85,-0.341,11541:  coding elements related to data parsing and storage operations,11639:  mathematical operations and programming constructs related to vector calculations
86,0.34,11541:  coding elements related to data parsing and storage operations,27: technical terms and concepts related to object-role modeling and database queries
87,0.34,7796: elements related to code syntax and structure in programming,2337:  comparative language and indicators of difference
88,0.3398,9295: terms related to programming exceptions and errors in software development,11639:  mathematical operations and programming constructs related to vector calculations
89,-0.339,9295: terms related to programming exceptions and errors in software development,27: technical terms and concepts related to object-role modeling and database queries
90,-0.3384,7796: elements related to code syntax and structure in programming,1444: elements of code related to user interface components and styling
91,0.3381,12298: scientific or academic terminology and references,7187: the opening and closing of document segments or paragraphs
92,0.3352,10788:  technical terms and parameters related to performance metrics,5534:  LaTeX formatting commands and syntax used in scientific documents
93,-0.3347,10788:  technical terms and parameters related to performance metrics,16109: phrases that express opinion or perspective
94,-0.3333,12298: scientific or academic terminology and references,7856: specific formatted references to pages and sections of documents
95,-0.331,"5945:  numerical parameters or attributes, particularly those related to maximum and minimum values",7187: the opening and closing of document segments or paragraphs
96,0.3276,13805: conditional phrases or questions,16109: phrases that express opinion or perspective
97,-0.327,13805: conditional phrases or questions,5534:  LaTeX formatting commands and syntax used in scientific documents
98,0.3267,"5945:  numerical parameters or attributes, particularly those related to maximum and minimum values",7856: specific formatted references to pages and sections of documents
99,-0.3257,6386: terms related to audio processing and effects,13525: references to stone and related materials
100,0.325,14781: elements related to user interaction and token verification in a digital workspace,7269: references to anniversaries and significant celebrations
101,0.3232,2653: terms related to iron and its biological significance,"8805: phrases related to experimentation, particularly in scientific or technical contexts"
102,-0.3223,14781: elements related to user interaction and token verification in a digital workspace,10612: technical terms and processes in scientific or mathematical contexts
103,0.322,11240: the presence of dialog-related components and confirmations,"8805: phrases related to experimentation, particularly in scientific or technical contexts"
104,0.3218,"9932: functions and events related to programming, particularly those involving event handling and listener methods",10612: technical terms and processes in scientific or mathematical contexts
105,-0.321,"9932: functions and events related to programming, particularly those involving event handling and listener methods",7269: references to anniversaries and significant celebrations
106,0.317,3593: issues related to coding problems and documentation errors,10061:  occurrences of opening and closing braces in code structures
107,-0.313,"13018: specific keywords or titles indicative of various subjects and contexts, such as live events, organizations, and technical processes","7931: references to recording, archiving, and data collection activities"
108,-0.309,3593: issues related to coding problems and documentation errors,14029: terms related to food fortification and micronutrient deficiencies
109,0.3074,5755:  references to controversial political figures and their actions,"7931: references to recording, archiving, and data collection activities"
110,-0.3074,2653: terms related to iron and its biological significance,15340:  concepts related to citizenship and government representation
111,-0.3071,11240: the presence of dialog-related components and confirmations,15340:  concepts related to citizenship and government representation
112,0.3035,829:  mathematical expressions and formulas,6981: references to political figures and events
113,-0.3022,829:  mathematical expressions and formulas,7095: phrases or terms related to authority figures and their actions
114,0.301,12194: instances of the main method in programming code,12475: technical terms and code-related syntax
115,0.2993,8117: names of countries and items related to gender equality and healthcare,7095: phrases or terms related to authority figures and their actions
116,0.2988,4578: instances of significant economic terminology related to health and medicine,10054: terms related to sponges and their biological processes
117,-0.2983,8117: names of countries and items related to gender equality and healthcare,6981: references to political figures and events
118,-0.2976,15288: technical terminology and programming constructs related to data processing and validation,10054: terms related to sponges and their biological processes
119,0.2957,15288: technical terminology and programming constructs related to data processing and validation,6895:  phrases related to requests or inquiries for assistance
120,-0.2937,4578: instances of significant economic terminology related to health and medicine,6895:  phrases related to requests or inquiries for assistance
121,-0.2927,14802: phrases indicating existence or introduction of concepts,10375:  instances of programming or markup language tags and structures
122,-0.292,6643: phrases related to sports statistics and performances,10332:  quantifiable measurements or numerical data
123,0.2905,1023: comma-separated lists or sequences of items,10332:  quantifiable measurements or numerical data
124,0.2903,2036: technical terms and references related to theories and formulas in physics and mathematics,10375:  instances of programming or markup language tags and structures
125,0.289,6643: phrases related to sports statistics and performances,13568: terms related to zoning and land use regulations
126,0.2883,"2012: instances of the word ""already"" in various contexts",16109: phrases that express opinion or perspective
127,0.288,693:  references to companies and specific products associated with genetics and finance,15297: numerical values and mathematical signs
128,-0.2861,1023: comma-separated lists or sequences of items,13568: terms related to zoning and land use regulations
129,-0.2847,693:  references to companies and specific products associated with genetics and finance,15275: terms related to comparisons and evaluations of technology or products
130,0.2847,3875: terms associated with biology and environmental science,9716: phrases related to requests for information regarding incidents or missing persons
131,-0.2844,12298: scientific or academic terminology and references,12969: numbers and code-like sequences within the text
132,-0.284,"2012: instances of the word ""already"" in various contexts",5534:  LaTeX formatting commands and syntax used in scientific documents
133,0.2827,6052: object properties and their associated methods in programming contexts,13355:  programming-related syntax and constructs
134,-0.2803,11805: references to significant achievements or records in sports,2337:  comparative language and indicators of difference
135,0.2803,11805: references to significant achievements or records in sports,1444: elements of code related to user interface components and styling
136,0.279,14802: phrases indicating existence or introduction of concepts,"8505: the beginning of a text or sections, indicated by specific formatting tokens"
137,-0.278,3732: punctuation marks,16109: phrases that express opinion or perspective
138,-0.2776,12194: instances of the main method in programming code,4684: references to professional and scientific associations
139,-0.277,2036: technical terms and references related to theories and formulas in physics and mathematics,9262: segments related to the initiation of a new topic or discourse
140,-0.2766,6052: object properties and their associated methods in programming contexts,1602: elements indicating government decisions or political actions
141,-0.2754,"105: special formatting and certain structural elements in the text, including symbols and patterns",5534:  LaTeX formatting commands and syntax used in scientific documents
142,0.2754,"105: special formatting and certain structural elements in the text, including symbols and patterns",16109: phrases that express opinion or perspective
143,0.2751,5912: elements related to archaeological findings and ancient artifacts,5534:  LaTeX formatting commands and syntax used in scientific documents
144,0.2747,3732: punctuation marks,5534:  LaTeX formatting commands and syntax used in scientific documents
145,-0.2744,5912: elements related to archaeological findings and ancient artifacts,16109: phrases that express opinion or perspective
146,-0.2744,2036: technical terms and references related to theories and formulas in physics and mathematics,"8505: the beginning of a text or sections, indicated by specific formatting tokens"
147,0.274,2036: technical terms and references related to theories and formulas in physics and mathematics,2575: mathematical symbols and expressions related to data structures or algorithms
148,0.2722,14802: phrases indicating existence or introduction of concepts,9262: segments related to the initiation of a new topic or discourse
149,-0.2717,3732: punctuation marks,12963:  sentences or phrases that contain a comparison or contrast involving negative connotations
150,-0.2715,3875: terms associated with biology and environmental science,6131: URLs and links in the text
151,-0.2715,7507: numerical data and references related to statistics and measurements,13355:  programming-related syntax and constructs
152,-0.2712,16340: elements related to user preferences or session management,15297: numerical values and mathematical signs
153,0.2698,"2012: instances of the word ""already"" in various contexts",12963:  sentences or phrases that contain a comparison or contrast involving negative connotations
154,0.2693,7507: numerical data and references related to statistics and measurements,1602: elements indicating government decisions or political actions
155,-0.269,14802: phrases indicating existence or introduction of concepts,2575: mathematical symbols and expressions related to data structures or algorithms
156,0.2686,16340: elements related to user preferences or session management,15275: terms related to comparisons and evaluations of technology or products
157,0.2683,"5945:  numerical parameters or attributes, particularly those related to maximum and minimum values",12969: numbers and code-like sequences within the text
