,QK Circuit Value,Key Feature,Query Feature
0,-0.4019,14956: legal terms and references to court proceedings,"15560:  multiple segments of structured data, likely in a programming context"
1,-0.3574,"15560:  multiple segments of structured data, likely in a programming context",14956: legal terms and references to court proceedings
2,-0.3416,6412: conjunctions and their recurring use in sentences,6163:  LaTeX formatting commands and structure in a document
3,-0.3267,6163:  LaTeX formatting commands and structure in a document,6412: conjunctions and their recurring use in sentences
4,-0.3242,10788:  technical terms and parameters related to performance metrics,13805: conditional phrases or questions
5,-0.3176,"8645: special characters or formatting symbols, indicating a focus on non-verbal elements in the text",8865: questions asking for definitions or explanations
6,-0.315,13805: conditional phrases or questions,10788:  technical terms and parameters related to performance metrics
7,-0.2744,11094: references to scientific studies and their results,10919: terminology related to measurements and experimental procedures in scientific contexts
8,0.2673,7221: legal terminology and references,8956: references to judgment or decision-making processes
9,-0.2659,"15560:  multiple segments of structured data, likely in a programming context",7400: key political figures and their roles
10,-0.2625,13492: numerical data and date representations,499: features and attributes related to product descriptions and specifications
11,-0.2585,7314:  punctuation marks such as quotation marks and apostrophes,8931:  restaurant reviews that mention food quality and dining experiences
12,-0.2542,8931:  restaurant reviews that mention food quality and dining experiences,7314:  punctuation marks such as quotation marks and apostrophes
13,-0.2532,499: features and attributes related to product descriptions and specifications,13492: numerical data and date representations
14,0.2463,"15560:  multiple segments of structured data, likely in a programming context",15577: references to tutorials and guides
15,0.2454,14956: legal terms and references to court proceedings,"15015: <span command="""">JavaScript event handling and functions related to user interactions in web development.</span>"
16,0.244,7613: references and mentions of documents or documentation,"11957: Java access modifiers, specifically ""public"" and ""protected"""
17,-0.2413,7221: legal terminology and references,3091:  Java import statements specifically related to various libraries and frameworks
18,-0.2388,"15560:  multiple segments of structured data, likely in a programming context",7950:  phrases related to technical specifications or characteristics
19,0.2363,14956: legal terms and references to court proceedings,7400: key political figures and their roles
20,-0.2347,5484:  references to notable achievements or events related to advancements and recognitions,"4374: elements of humor, particularly dark and inappropriate humor"
21,0.2327,14956: legal terms and references to court proceedings,7950:  phrases related to technical specifications or characteristics
22,-0.2325,"4374: elements of humor, particularly dark and inappropriate humor",5484:  references to notable achievements or events related to advancements and recognitions
23,-0.2308,14956: legal terms and references to court proceedings,11044: phrases related to criminal activity and societal issues
24,-0.2302,10919: terminology related to measurements and experimental procedures in scientific contexts,11094: references to scientific studies and their results
25,-0.2294,"8645: special characters or formatting symbols, indicating a focus on non-verbal elements in the text",10639: terms related to tax and health funding programs
26,-0.2281,"4814: concepts related to health and well-being, especially in medical contexts",9009:  programming-related terms and code structure elements
27,-0.2245,9009:  programming-related terms and code structure elements,"4814: concepts related to health and well-being, especially in medical contexts"
28,-0.2236,14956: legal terms and references to court proceedings,15577: references to tutorials and guides
29,0.2217,"15560:  multiple segments of structured data, likely in a programming context",4092: references to educational backgrounds and achievements
30,0.2214,557: references to chemical or biological modifications and their implications,8578: questions and responses related to functionality and user queries
31,-0.2197,14956: legal terms and references to court proceedings,4092: references to educational backgrounds and achievements
32,-0.2137,4155: customer service-related interactions and responses,14958: references to commercial activities and terms
33,-0.2134,"15560:  multiple segments of structured data, likely in a programming context","15015: <span command="""">JavaScript event handling and functions related to user interactions in web development.</span>"
34,-0.2133,11094: references to scientific studies and their results,11939:  phrases and terms related to medical and health-related conditions
35,-0.2101,14481: terms related to medical conditions affecting the lungs and their associated treatments,10639: terms related to tax and health funding programs
36,-0.2051,14481: terms related to medical conditions affecting the lungs and their associated treatments,8865: questions asking for definitions or explanations
37,-0.2042,16266:  numerical data and mathematical expressions,7942: references to event registration and participation details
38,0.204,6749: references to influential leaders and their historical actions,12628:  references to behavioral patterns and their implications
39,0.2039,9807: specific responses and error messages in code,8366: technical terms and concepts related to data processing and computer architecture
40,0.2012,4627: references to significant figures or events in revolutionary contexts,16258: verbs and actions related to communication and interaction
41,-0.1997,6749: references to influential leaders and their historical actions,6606: mentions of celebrity names and news articles related to them
42,-0.198,"5258:  symbols and punctuation marks, particularly related to formatting or code structures",2291: technical or mathematical symbols and terms
43,-0.1971,9923: phrases related to improvements or advancements in methodology or technology,7010:  specific numerical values and variables in a structured data format or code
44,0.1967,7221: legal terminology and references,1306: code snippets related to file operations and handling
45,-0.1946,12329:  sequences of whitespace characters,9377: phrases related to findings and results in a scientific or analytical context
46,0.1941,10919: terminology related to measurements and experimental procedures in scientific contexts,11939:  phrases and terms related to medical and health-related conditions
47,0.1935,"15560:  multiple segments of structured data, likely in a programming context",11044: phrases related to criminal activity and societal issues
48,-0.1917,11094: references to scientific studies and their results,"12761: terms related to investment, startups, and entrepreneurial strategies"
49,-0.1906,7942: references to event registration and participation details,16266:  numerical data and mathematical expressions
50,-0.1904,7221: legal terminology and references,16273:  programming code related to alerts and user notifications
51,0.1887,10919: terminology related to measurements and experimental procedures in scientific contexts,"12761: terms related to investment, startups, and entrepreneurial strategies"
52,0.1875,1417: references to specific gene sequences and their corresponding classifications or codes,7010:  specific numerical values and variables in a structured data format or code
53,0.1869,"5817: features related to downloading and using software applications, particularly VPNs and file managers",14958: references to commercial activities and terms
54,-0.1868,4627: references to significant figures or events in revolutionary contexts,12170: specific business and economic terminology
55,0.1842,1417: references to specific gene sequences and their corresponding classifications or codes,791: references to figures and diagrams in the text
56,-0.1827,10919: terminology related to measurements and experimental procedures in scientific contexts,2875: references to legal proceedings and the assessment of claims within a legal context
57,0.1823,11094: references to scientific studies and their results,2875: references to legal proceedings and the assessment of claims within a legal context
58,-0.181,"15560:  multiple segments of structured data, likely in a programming context",11678: discussions of health risks and potential consequences related to medical conditions
59,-0.18,"8645: special characters or formatting symbols, indicating a focus on non-verbal elements in the text",10441: quotes and their variations in punctuation
