,QK Circuit Value,Key Feature,Query Feature
0,-1.858,8003: sentences that express opinions or reflections on societal issues,8848:  numerical data and statistics
1,-1.797,8848:  numerical data and statistics,8003: sentences that express opinions or reflections on societal issues
2,-1.259,15108:  concepts and discussions related to health care policies and decision-making processes,6409: conditional statements and expressions of uncertainty or potential outcomes
3,-1.237,6409: conditional statements and expressions of uncertainty or potential outcomes,15108:  concepts and discussions related to health care policies and decision-making processes
4,-1.028,406: issues related to functionality and errors in programming or web development,5549: statistical numbers and numerical data related to measurements
5,-0.9546,5549: statistical numbers and numerical data related to measurements,406: issues related to functionality and errors in programming or web development
6,-0.8667,3673: terms and phrases related to reproductive health and fertility,5549: statistical numbers and numerical data related to measurements
7,-0.8457,3598: terms associated with technical specifications and measurements,2989: statistical significance indicators in research findings
8,-0.8135,2989: statistical significance indicators in research findings,3598: terms associated with technical specifications and measurements
9,-0.745,5549: statistical numbers and numerical data related to measurements,3673: terms and phrases related to reproductive health and fertility
10,0.745,3673: terms and phrases related to reproductive health and fertility,406: issues related to functionality and errors in programming or web development
11,0.6816,406: issues related to functionality and errors in programming or web development,3673: terms and phrases related to reproductive health and fertility
12,-0.5557,6013: scientific terms related to genetic mutations and mathematical concepts,6409: conditional statements and expressions of uncertainty or potential outcomes
13,-0.5283,6409: conditional statements and expressions of uncertainty or potential outcomes,6013: scientific terms related to genetic mutations and mathematical concepts
14,-0.5283,573: references to personal experiences and perceptions,8822: highly technical and mathematical terminology related to algebraic geometry and abstract algebra concepts
15,0.499,15108:  concepts and discussions related to health care policies and decision-making processes,6013: scientific terms related to genetic mutations and mathematical concepts
16,0.4856,2843: code structure and definitions commonly used in programming,573: references to personal experiences and perceptions
17,0.481,6013: scientific terms related to genetic mutations and mathematical concepts,15108:  concepts and discussions related to health care policies and decision-making processes
18,-0.4746,8848:  numerical data and statistics,1560: instances of research study references and methodological language
19,-0.456,5549: statistical numbers and numerical data related to measurements,3261: questions related to personal experiences and advice
20,-0.4558,6409: conditional statements and expressions of uncertainty or potential outcomes,"4618: references to time, specifically the concept of ""year"" and its variants"
21,0.4553,9127: words or phrases that describe strength or capability,573: references to personal experiences and perceptions
22,-0.4539,8822: highly technical and mathematical terminology related to algebraic geometry and abstract algebra concepts,573: references to personal experiences and perceptions
23,-0.4531,5549: statistical numbers and numerical data related to measurements,9567: instances of common nouns and phrases related to food and dining contexts
24,0.4512,10937: network communication operations and protocols,2352: mentions of specific individuals and organizations involved in political or legal contexts
25,0.4463,406: issues related to functionality and errors in programming or web development,6409: conditional statements and expressions of uncertainty or potential outcomes
26,-0.4453,3261: questions related to personal experiences and advice,5549: statistical numbers and numerical data related to measurements
27,-0.4385,9567: instances of common nouns and phrases related to food and dining contexts,5549: statistical numbers and numerical data related to measurements
28,0.4373,406: issues related to functionality and errors in programming or web development,3261: questions related to personal experiences and advice
29,-0.437,2843: code structure and definitions commonly used in programming,8822: highly technical and mathematical terminology related to algebraic geometry and abstract algebra concepts
30,0.4272,5549: statistical numbers and numerical data related to measurements,"4618: references to time, specifically the concept of ""year"" and its variants"
31,-0.4226,10937: network communication operations and protocols,12937:  terms related to software licensing and redistribution
32,0.4226,3261: questions related to personal experiences and advice,406: issues related to functionality and errors in programming or web development
33,0.4177,8848:  numerical data and statistics,11025: technical terms and references related to systems and methodologies in scientific or engineering contexts
34,-0.4172,406: issues related to functionality and errors in programming or web development,"4618: references to time, specifically the concept of ""year"" and its variants"
35,-0.414,"4618: references to time, specifically the concept of ""year"" and its variants",6409: conditional statements and expressions of uncertainty or potential outcomes
36,0.4124,406: issues related to functionality and errors in programming or web development,9567: instances of common nouns and phrases related to food and dining contexts
37,0.406,8003: sentences that express opinions or reflections on societal issues,1560: instances of research study references and methodological language
38,-0.4,5549: statistical numbers and numerical data related to measurements,6409: conditional statements and expressions of uncertainty or potential outcomes
39,0.3977,"1749: phrases that describe conditions, requirements, or parameters related to systems or processes",8848:  numerical data and statistics
40,0.3975,3673: terms and phrases related to reproductive health and fertility,3261: questions related to personal experiences and advice
41,0.396,573: references to personal experiences and perceptions,2843: code structure and definitions commonly used in programming
42,-0.3958,9127: words or phrases that describe strength or capability,8822: highly technical and mathematical terminology related to algebraic geometry and abstract algebra concepts
43,0.395,6409: conditional statements and expressions of uncertainty or potential outcomes,1560: instances of research study references and methodological language
44,-0.3914,8003: sentences that express opinions or reflections on societal issues,11025: technical terms and references related to systems and methodologies in scientific or engineering contexts
45,0.3887,573: references to personal experiences and perceptions,10937: network communication operations and protocols
46,-0.3882,15108:  concepts and discussions related to health care policies and decision-making processes,1560: instances of research study references and methodological language
47,0.3862,15108:  concepts and discussions related to health care policies and decision-making processes,"4618: references to time, specifically the concept of ""year"" and its variants"
48,-0.3845,8003: sentences that express opinions or reflections on societal issues,13842: terms related to depression and mental health diagnosis
49,-0.3792,406: issues related to functionality and errors in programming or web development,15108:  concepts and discussions related to health care policies and decision-making processes
50,-0.3748,12937:  terms related to software licensing and redistribution,10937: network communication operations and protocols
51,0.3743,9567: instances of common nouns and phrases related to food and dining contexts,406: issues related to functionality and errors in programming or web development
52,-0.3733,"4618: references to time, specifically the concept of ""year"" and its variants",406: issues related to functionality and errors in programming or web development
53,-0.373,"1749: phrases that describe conditions, requirements, or parameters related to systems or processes",8003: sentences that express opinions or reflections on societal issues
54,0.3708,3261: questions related to personal experiences and advice,3673: terms and phrases related to reproductive health and fertility
55,0.3628,2843: code structure and definitions commonly used in programming,10937: network communication operations and protocols
56,0.3618,12028: terms related to energy efficiency and the operation of air conditioning systems,13552: information related to scientific methodologies or experimental processes
57,0.3564,"4618: references to time, specifically the concept of ""year"" and its variants",5549: statistical numbers and numerical data related to measurements
58,-0.3555,5677: references to actions or decisions related to judgments or assessments,8848:  numerical data and statistics
59,-0.352,15743:  boolean values and their assignments in programming code,7647: expressions of gratitude and appreciation
60,-0.3513,15743:  boolean values and their assignments in programming code,8191:  occurrences of specific variable declarations or iterations in code
61,-0.351,573: references to personal experiences and perceptions,2989: statistical significance indicators in research findings
62,0.349,8848:  numerical data and statistics,13842: terms related to depression and mental health diagnosis
63,-0.348,8822: highly technical and mathematical terminology related to algebraic geometry and abstract algebra concepts,10937: network communication operations and protocols
64,-0.3472,8848:  numerical data and statistics,5677: references to actions or decisions related to judgments or assessments
65,-0.3445,7421: mention of fishing-related terms and phrases,8848:  numerical data and statistics
66,0.3438,11025: technical terms and references related to systems and methodologies in scientific or engineering contexts,8848:  numerical data and statistics
67,-0.3423,2439: discussions about political scenarios and consequences,8848:  numerical data and statistics
68,0.3384,5549: statistical numbers and numerical data related to measurements,1369: descriptive terms related to horror and extreme negative experiences
69,-0.334,12937:  terms related to software licensing and redistribution,2352: mentions of specific individuals and organizations involved in political or legal contexts
70,0.3333,5467:  variables and parameters related to data and experimental results,8848:  numerical data and statistics
71,0.3323,10937: network communication operations and protocols,14620: mathematical symbols and expressions related to functions and operations
72,0.328,15743:  boolean values and their assignments in programming code,920: elements related to digital file management and application settings
73,-0.3252,8848:  numerical data and statistics,9567: instances of common nouns and phrases related to food and dining contexts
74,-0.325,5112: prominent numerical values and their relationships within the text,6409: conditional statements and expressions of uncertainty or potential outcomes
75,0.3223,"4618: references to time, specifically the concept of ""year"" and its variants",15108:  concepts and discussions related to health care policies and decision-making processes
76,-0.322,"2585: specific alphanumeric sequences, especially relating to variable names or identifiers",573: references to personal experiences and perceptions
77,-0.3218,14620: mathematical symbols and expressions related to functions and operations,1577: terms related to scientific reagents and their usage in experimental procedures
78,-0.3213,8848:  numerical data and statistics,"10634: structured data representations, particularly those related to nodes and their attributes in a code or algorithm context"
79,0.3198,7421: mention of fishing-related terms and phrases,8003: sentences that express opinions or reflections on societal issues
80,-0.3188,9567: instances of common nouns and phrases related to food and dining contexts,8848:  numerical data and statistics
81,0.3186,3511: references to Disney and its associated characters or franchises,8848:  numerical data and statistics
82,0.3167,2439: discussions about political scenarios and consequences,8003: sentences that express opinions or reflections on societal issues
83,0.3162,5677: references to actions or decisions related to judgments or assessments,8003: sentences that express opinions or reflections on societal issues
84,0.3152,6409: conditional statements and expressions of uncertainty or potential outcomes,406: issues related to functionality and errors in programming or web development
85,0.3142,1263: references to population statistics and demographics,6409: conditional statements and expressions of uncertainty or potential outcomes
86,0.3142,8003: sentences that express opinions or reflections on societal issues,9567: instances of common nouns and phrases related to food and dining contexts
87,-0.314,2989: statistical significance indicators in research findings,573: references to personal experiences and perceptions
88,-0.3123,12028: terms related to energy efficiency and the operation of air conditioning systems,13975: distinctive or important identifiers in a dataset
89,0.31,295: terms related to trade and its complexities or implications,7647: expressions of gratitude and appreciation
90,-0.309,11025: technical terms and references related to systems and methodologies in scientific or engineering contexts,8003: sentences that express opinions or reflections on societal issues
91,0.3076,8003: sentences that express opinions or reflections on societal issues,5677: references to actions or decisions related to judgments or assessments
92,0.3064,2843: code structure and definitions commonly used in programming,2352: mentions of specific individuals and organizations involved in political or legal contexts
93,-0.3062,3673: terms and phrases related to reproductive health and fertility,"4618: references to time, specifically the concept of ""year"" and its variants"
94,-0.305,573: references to personal experiences and perceptions,12937:  terms related to software licensing and redistribution
95,-0.3044,1577: terms related to scientific reagents and their usage in experimental procedures,14620: mathematical symbols and expressions related to functions and operations
96,-0.3044,"10044: mentions of family relationships, particularly focusing on the description of a deceased person and their relatives",8003: sentences that express opinions or reflections on societal issues
97,0.304,16238:  phrases related to structures and mechanisms in technology and science,5549: statistical numbers and numerical data related to measurements
98,-0.3035,5549: statistical numbers and numerical data related to measurements,2918: phrases expressing opinions or arguments regarding political issues
99,-0.3032,7850: descriptive features and specifications related to audio equipment,8848:  numerical data and statistics
100,0.303,295: terms related to trade and its complexities or implications,8191:  occurrences of specific variable declarations or iterations in code
101,-0.3025,"4618: references to time, specifically the concept of ""year"" and its variants",3598: terms associated with technical specifications and measurements
102,-0.3018,406: issues related to functionality and errors in programming or web development,1369: descriptive terms related to horror and extreme negative experiences
103,-0.3003,1263: references to population statistics and demographics,15108:  concepts and discussions related to health care policies and decision-making processes
104,0.2993,15743:  boolean values and their assignments in programming code,9127: words or phrases that describe strength or capability
105,0.2988,5549: statistical numbers and numerical data related to measurements,15108:  concepts and discussions related to health care policies and decision-making processes
106,-0.2986,3511: references to Disney and its associated characters or franchises,8003: sentences that express opinions or reflections on societal issues
107,0.2983,12028: terms related to energy efficiency and the operation of air conditioning systems,16281: keywords and structure related to programming logic and operations
108,-0.2983,5549: statistical numbers and numerical data related to measurements,4487: scheduled events and their timings
109,0.2964,"10044: mentions of family relationships, particularly focusing on the description of a deceased person and their relatives",8848:  numerical data and statistics
110,0.296,14300:  phrases related to legal and bureaucratic processes,573: references to personal experiences and perceptions
111,-0.295,6409: conditional statements and expressions of uncertainty or potential outcomes,87:  programmatic constructs and conditions related to feedback mechanisms
112,0.295,9567: instances of common nouns and phrases related to food and dining contexts,8003: sentences that express opinions or reflections on societal issues
113,0.295,8848:  numerical data and statistics,"1749: phrases that describe conditions, requirements, or parameters related to systems or processes"
114,-0.294,14628:  phrases and words related to presentation or conveying information,8848:  numerical data and statistics
115,0.2917,2352: mentions of specific individuals and organizations involved in political or legal contexts,10937: network communication operations and protocols
116,-0.2905,8822: highly technical and mathematical terminology related to algebraic geometry and abstract algebra concepts,2843: code structure and definitions commonly used in programming
117,0.2896,8003: sentences that express opinions or reflections on societal issues,"10634: structured data representations, particularly those related to nodes and their attributes in a code or algorithm context"
118,0.2888,"2585: specific alphanumeric sequences, especially relating to variable names or identifiers",8822: highly technical and mathematical terminology related to algebraic geometry and abstract algebra concepts
119,-0.2883,2989: statistical significance indicators in research findings,9127: words or phrases that describe strength or capability
120,0.2883,1369: descriptive terms related to horror and extreme negative experiences,5549: statistical numbers and numerical data related to measurements
121,-0.287,6409: conditional statements and expressions of uncertainty or potential outcomes,5112: prominent numerical values and their relationships within the text
122,0.2866,406: issues related to functionality and errors in programming or web development,4487: scheduled events and their timings
123,0.2864,"4618: references to time, specifically the concept of ""year"" and its variants",2989: statistical significance indicators in research findings
