,QK Circuit Value,Key Feature,Query Feature
0,-1.862,8003: sentences that express opinions or reflections on societal issues,8848:  numerical data and statistics
1,-1.802,8848:  numerical data and statistics,8003: sentences that express opinions or reflections on societal issues
2,-1.3125,406: issues related to functionality and errors in programming or web development,5549: statistical numbers and numerical data related to measurements
3,-1.216,15108:  concepts and discussions related to health care policies and decision-making processes,6409: conditional statements and expressions of uncertainty or potential outcomes
4,-1.1875,13552: information related to scientific methodologies or experimental processes,13975: distinctive or important identifiers in a dataset
5,-1.179,3673: terms and phrases related to reproductive health and fertility,5549: statistical numbers and numerical data related to measurements
6,-1.168,5549: statistical numbers and numerical data related to measurements,3673: terms and phrases related to reproductive health and fertility
7,-1.159,5549: statistical numbers and numerical data related to measurements,406: issues related to functionality and errors in programming or web development
8,1.125,12028: terms related to energy efficiency and the operation of air conditioning systems,13975: distinctive or important identifiers in a dataset
9,-1.085,3598: terms associated with technical specifications and measurements,2989: statistical significance indicators in research findings
10,-1.069,6409: conditional statements and expressions of uncertainty or potential outcomes,15108:  concepts and discussions related to health care policies and decision-making processes
11,-1.06,2989: statistical significance indicators in research findings,3598: terms associated with technical specifications and measurements
12,1.028,406: issues related to functionality and errors in programming or web development,3673: terms and phrases related to reproductive health and fertility
13,-0.9956,12028: terms related to energy efficiency and the operation of air conditioning systems,13552: information related to scientific methodologies or experimental processes
14,-0.981,6304: legal terminology and concepts related to discrimination and harassment cases,16281: keywords and structure related to programming logic and operations
15,0.9336,3673: terms and phrases related to reproductive health and fertility,406: issues related to functionality and errors in programming or web development
16,-0.878,6304: legal terminology and concepts related to discrimination and harassment cases,13552: information related to scientific methodologies or experimental processes
17,0.873,10012: numerical values or statistics related to data analysis,16281: keywords and structure related to programming logic and operations
18,-0.8438,13975: distinctive or important identifiers in a dataset,6304: legal terminology and concepts related to discrimination and harassment cases
19,-0.838,10012: numerical values or statistics related to data analysis,6304: legal terminology and concepts related to discrimination and harassment cases
20,0.8257,13552: information related to scientific methodologies or experimental processes,6304: legal terminology and concepts related to discrimination and harassment cases
21,-0.813,12028: terms related to energy efficiency and the operation of air conditioning systems,6304: legal terminology and concepts related to discrimination and harassment cases
22,0.7734,13975: distinctive or important identifiers in a dataset,16281: keywords and structure related to programming logic and operations
23,0.77,1369: descriptive terms related to horror and extreme negative experiences,5109: terms related to stem cell research and differentiation processes
24,-0.7617,13552: information related to scientific methodologies or experimental processes,16281: keywords and structure related to programming logic and operations
25,0.7534,10012: numerical values or statistics related to data analysis,13552: information related to scientific methodologies or experimental processes
26,-0.737,16205:  structured data expressions and command syntax in programming contexts,13552: information related to scientific methodologies or experimental processes
