,QK Circuit Value,Key Feature,Query Feature
0,-0.4282,"15560:  multiple segments of structured data, likely in a programming context",14956: legal terms and references to court proceedings
1,-0.424,11094: references to scientific studies and their results,10919: terminology related to measurements and experimental procedures in scientific contexts
2,-0.3953,14956: legal terms and references to court proceedings,"15560:  multiple segments of structured data, likely in a programming context"
3,-0.3706,10919: terminology related to measurements and experimental procedures in scientific contexts,11094: references to scientific studies and their results
4,-0.3442,"8645: special characters or formatting symbols, indicating a focus on non-verbal elements in the text",8865: questions asking for definitions or explanations
5,-0.3225,6412: conjunctions and their recurring use in sentences,6163:  LaTeX formatting commands and structure in a document
6,-0.3118,10788:  technical terms and parameters related to performance metrics,13805: conditional phrases or questions
7,-0.3096,6163:  LaTeX formatting commands and structure in a document,6412: conjunctions and their recurring use in sentences
8,-0.3066,13805: conditional phrases or questions,10788:  technical terms and parameters related to performance metrics
9,0.3057,14956: legal terms and references to court proceedings,7950:  phrases related to technical specifications or characteristics
10,-0.302,14956: legal terms and references to court proceedings,4092: references to educational backgrounds and achievements
11,-0.2986,"15560:  multiple segments of structured data, likely in a programming context",7400: key political figures and their roles
12,-0.2896,"8645: special characters or formatting symbols, indicating a focus on non-verbal elements in the text",10639: terms related to tax and health funding programs
13,-0.2778,"15560:  multiple segments of structured data, likely in a programming context",7950:  phrases related to technical specifications or characteristics
14,0.2773,"15560:  multiple segments of structured data, likely in a programming context",15577: references to tutorials and guides
15,0.267,"15560:  multiple segments of structured data, likely in a programming context",4092: references to educational backgrounds and achievements
16,-0.2603,7314:  punctuation marks such as quotation marks and apostrophes,8931:  restaurant reviews that mention food quality and dining experiences
17,-0.2603,13492: numerical data and date representations,499: features and attributes related to product descriptions and specifications
18,0.259,14956: legal terms and references to court proceedings,7400: key political figures and their roles
19,-0.2559,8931:  restaurant reviews that mention food quality and dining experiences,7314:  punctuation marks such as quotation marks and apostrophes
20,-0.2502,14481: terms related to medical conditions affecting the lungs and their associated treatments,10639: terms related to tax and health funding programs
21,-0.2499,14956: legal terms and references to court proceedings,15577: references to tutorials and guides
22,-0.2466,499: features and attributes related to product descriptions and specifications,13492: numerical data and date representations
23,-0.236,"4814: concepts related to health and well-being, especially in medical contexts",9009:  programming-related terms and code structure elements
24,-0.2351,9009:  programming-related terms and code structure elements,"4814: concepts related to health and well-being, especially in medical contexts"
25,-0.2279,"4374: elements of humor, particularly dark and inappropriate humor",5484:  references to notable achievements or events related to advancements and recognitions
26,-0.2252,12329:  sequences of whitespace characters,9377: phrases related to findings and results in a scientific or analytical context
27,-0.2212,5484:  references to notable achievements or events related to advancements and recognitions,"4374: elements of humor, particularly dark and inappropriate humor"
28,-0.2119,16266:  numerical data and mathematical expressions,7942: references to event registration and participation details
29,0.2107,14956: legal terms and references to court proceedings,8863: words related to various types of activities
30,-0.2007,14481: terms related to medical conditions affecting the lungs and their associated treatments,8865: questions asking for definitions or explanations
31,-0.1982,7942: references to event registration and participation details,16266:  numerical data and mathematical expressions
32,0.1965,14956: legal terms and references to court proceedings,2074:  keywords or indicators related to code or programming functionalities
33,-0.1931,14956: legal terms and references to court proceedings,11044: phrases related to criminal activity and societal issues
34,0.1925,14956: legal terms and references to court proceedings,"15015: <span command="""">JavaScript event handling and functions related to user interactions in web development.</span>"
35,-0.1904,14956: legal terms and references to court proceedings,14737: user queries and responses related to research or inquiry
36,-0.1892,9377: phrases related to findings and results in a scientific or analytical context,12329:  sequences of whitespace characters
37,-0.1864,"15560:  multiple segments of structured data, likely in a programming context",2074:  keywords or indicators related to code or programming functionalities
38,-0.182,"5258:  symbols and punctuation marks, particularly related to formatting or code structures",2291: technical or mathematical symbols and terms
39,-0.1816,"2585: specific alphanumeric sequences, especially relating to variable names or identifiers",2843: code structure and definitions commonly used in programming
40,-0.1794,12329:  sequences of whitespace characters,10639: terms related to tax and health funding programs
41,0.1791,13046:  mathematical symbols and parameters related to equations and functions,14376: emphasis markers and formatting elements in documents
42,0.1788,8644: terms related to training and testing data in machine learning contexts,10919: terminology related to measurements and experimental procedures in scientific contexts
43,-0.1768,14060: specific chemical compounds and their variations,7400: key political figures and their roles
44,-0.176,"15560:  multiple segments of structured data, likely in a programming context",8863: words related to various types of activities
45,-0.174,9730: negations and expressions of doubt or uncertainty,11094: references to scientific studies and their results
46,0.1709,11939:  phrases and terms related to medical and health-related conditions,10919: terminology related to measurements and experimental procedures in scientific contexts
47,-0.1707,2291: technical or mathematical symbols and terms,"5258:  symbols and punctuation marks, particularly related to formatting or code structures"
48,-0.1707,3598: terms associated with technical specifications and measurements,16241: legal terminology related to court cases and appeals
49,-0.1696,8644: terms related to training and testing data in machine learning contexts,11094: references to scientific studies and their results
50,-0.1694,14956: legal terms and references to court proceedings,1906: commands and processes related to executing scripts or programs in a programming context
51,0.1683,9730: negations and expressions of doubt or uncertainty,10919: terminology related to measurements and experimental procedures in scientific contexts
52,-0.168,5912: elements related to archaeological findings and ancient artifacts,6392:  XML-like structured data elements
53,-0.1667,6392:  XML-like structured data elements,5912: elements related to archaeological findings and ancient artifacts
54,0.1646,2894:  biomedical terms related to blood and immune system functions,1616: syntax elements and structures within programming or markup language contexts
55,-0.1643,10553: references to military threats and potential risks involving individuals,10211: scientific or medical terminology related to diseases and treatment options
56,0.1635,9377: phrases related to findings and results in a scientific or analytical context,10639: terms related to tax and health funding programs
57,-0.1631,11939:  phrases and terms related to medical and health-related conditions,11094: references to scientific studies and their results
