,QK Circuit Value,Key Feature,Query Feature
0,-0.1015,3744:  references to the Hall of Fame and related ceremonies or inductions,8517:  numerical patterns or symbols related to lists or sequences
1,0.0976,3476: references to surface-related concepts and properties,8517:  numerical patterns or symbols related to lists or sequences
2,-0.09106,819:  structured data presentation and numerical information,819:  structured data presentation and numerical information
3,-0.0845,6605:  frequencies of occurrences or items in lists and counts,6605:  frequencies of occurrences or items in lists and counts
4,-0.0821,15107: structured data or variables related to types and their attributes,8517:  numerical patterns or symbols related to lists or sequences
5,0.0812,10553: references to military threats and potential risks involving individuals,10553: references to military threats and potential risks involving individuals
6,-0.0793,10211: scientific or medical terminology related to diseases and treatment options,3160:  programming syntax and coding structures
7,-0.07886,2842: numbers and percentage values related to statistical analysis,8517:  numerical patterns or symbols related to lists or sequences
8,-0.07434,10553: references to military threats and potential risks involving individuals,10211: scientific or medical terminology related to diseases and treatment options
9,-0.0731,16134: references to interviews and conversations,8517:  numerical patterns or symbols related to lists or sequences
10,-0.0681,1681: references to scams and fraudulent activities,5864: terms related to financial transactions and deposits
11,-0.06793,3598: terms associated with technical specifications and measurements,16241: legal terminology related to court cases and appeals
12,-0.06726,"838: technical terms related to computer science, programming languages, or data structures",5864: terms related to financial transactions and deposits
13,0.0662,1374: common symbols or mathematical notations related to set theory and graph theory,8517:  numerical patterns or symbols related to lists or sequences
14,-0.0653,11614:  code snippets and programming constructs,8517:  numerical patterns or symbols related to lists or sequences
15,0.06494,7352:  structured data formats and attributes within documents,6062:  phrases related to authority and compliance
16,-0.06476,6594:  numerical values related to quantities or measurements,8517:  numerical patterns or symbols related to lists or sequences
17,0.0642,12570: references to faces or facial features,14662: various sounds and noises described in the text
18,-0.0642,"12888:  punctuation marks, particularly periods",8517:  numerical patterns or symbols related to lists or sequences
19,-0.064,12523: terms related to regulations and conditions for financial and research contexts,8517:  numerical patterns or symbols related to lists or sequences
20,0.0637,14859: specific names and references related to locations and events,5864: terms related to financial transactions and deposits
21,-0.06366,"7426:  fragments of code or programming-related syntax, specifically within a structured or formatted context",8517:  numerical patterns or symbols related to lists or sequences
22,-0.0633,4118: specific programming constructs or syntactic elements related to function definitions and method calls,2737:  phrases related to legal expenses and costs
23,0.0628,13408: lists of numbered items and their classifications or evaluations,8517:  numerical patterns or symbols related to lists or sequences
24,-0.0622,10543:  coordinating conjunctions used to connect clauses or phrases,10543:  coordinating conjunctions used to connect clauses or phrases
25,0.0621,"2069: specific proper nouns, particularly names and titles",5864: terms related to financial transactions and deposits
26,0.062,3302: phrases involving details of legal cases and actions taken within them,8517:  numerical patterns or symbols related to lists or sequences
27,0.0608,10553: references to military threats and potential risks involving individuals,3160:  programming syntax and coding structures
28,0.0606,7352:  structured data formats and attributes within documents,14662: various sounds and noises described in the text
29,0.0606,11087: specific structural elements or commands in programming and mathematical contexts,12085: instructions and guides for how to perform tasks or solve problems
30,0.06052,8517:  numerical patterns or symbols related to lists or sequences,8517:  numerical patterns or symbols related to lists or sequences
31,-0.06033,10211: scientific or medical terminology related to diseases and treatment options,10553: references to military threats and potential risks involving individuals
32,0.06033,6576: HTML and XML markup tags,8517:  numerical patterns or symbols related to lists or sequences
33,0.0591,"759: references to fakeness or deception, particularly in the context of news and representations",8517:  numerical patterns or symbols related to lists or sequences
34,0.05896,12202: numerical values and their relationships in a data context,8517:  numerical patterns or symbols related to lists or sequences
35,-0.05865,3230: references to matrices and array structures,6605:  frequencies of occurrences or items in lists and counts
36,-0.05853,4208: numerical data and statistical values,8517:  numerical patterns or symbols related to lists or sequences
37,-0.0584,7352:  structured data formats and attributes within documents,2737:  phrases related to legal expenses and costs
38,0.05804,5815:  numerical or tabular data relevant to various contexts,9295: terms related to programming exceptions and errors in software development
39,-0.05774,6605:  frequencies of occurrences or items in lists and counts,"3190: details related to crime scenes, residences, and actions taking place within homes"
40,0.0576,"15335: references to academic departments, institutions, and legal entities",13384: complex structured elements in data
41,-0.05753,5815:  numerical or tabular data relevant to various contexts,11541:  coding elements related to data parsing and storage operations
42,-0.05713,6100:  temporal references or time indicators in the text,8517:  numerical patterns or symbols related to lists or sequences
43,-0.05698,12339:  words indicating success or failure in file operations and other processes,8517:  numerical patterns or symbols related to lists or sequences
44,0.05698,11087: specific structural elements or commands in programming and mathematical contexts,11087: specific structural elements or commands in programming and mathematical contexts
45,-0.05637,6605:  frequencies of occurrences or items in lists and counts,9916: technical terms and components related to mechanical or electrical fittings and assemblies
46,-0.05585,7190:  programming functions and their components,8517:  numerical patterns or symbols related to lists or sequences
47,0.05566,13844: references to social connections and communal engagement,8517:  numerical patterns or symbols related to lists or sequences
48,-0.05554,1974: references to design elements that maximize space efficiency,513: expressions of unfortunate circumstances or negative outcomes
49,-0.05533,10553: references to military threats and potential risks involving individuals,16241: legal terminology related to court cases and appeals
