,QK Circuit Value,Key Feature,Query Feature
0,-0.3337,14956: legal terms and references to court proceedings,"15560:  multiple segments of structured data, likely in a programming context"
1,0.328,13805: conditional phrases or questions,13805: conditional phrases or questions
2,-0.327,10788:  technical terms and parameters related to performance metrics,13805: conditional phrases or questions
3,-0.324,13805: conditional phrases or questions,10788:  technical terms and parameters related to performance metrics
4,0.3235,14956: legal terms and references to court proceedings,14956: legal terms and references to court proceedings
5,0.3228,"15560:  multiple segments of structured data, likely in a programming context","15560:  multiple segments of structured data, likely in a programming context"
6,0.3215,10788:  technical terms and parameters related to performance metrics,10788:  technical terms and parameters related to performance metrics
7,-0.316,"15560:  multiple segments of structured data, likely in a programming context",14956: legal terms and references to court proceedings
8,0.2856,6163:  LaTeX formatting commands and structure in a document,6163:  LaTeX formatting commands and structure in a document
9,-0.285,6412: conjunctions and their recurring use in sentences,6163:  LaTeX formatting commands and structure in a document
10,-0.2732,6163:  LaTeX formatting commands and structure in a document,6412: conjunctions and their recurring use in sentences
11,0.271,6412: conjunctions and their recurring use in sentences,6412: conjunctions and their recurring use in sentences
12,-0.2457,13492: numerical data and date representations,499: features and attributes related to product descriptions and specifications
13,0.2456,8931:  restaurant reviews that mention food quality and dining experiences,8931:  restaurant reviews that mention food quality and dining experiences
14,-0.2444,7314:  punctuation marks such as quotation marks and apostrophes,8931:  restaurant reviews that mention food quality and dining experiences
15,-0.2432,8931:  restaurant reviews that mention food quality and dining experiences,7314:  punctuation marks such as quotation marks and apostrophes
16,0.241,13492: numerical data and date representations,13492: numerical data and date representations
17,0.2406,499: features and attributes related to product descriptions and specifications,499: features and attributes related to product descriptions and specifications
18,0.2404,7314:  punctuation marks such as quotation marks and apostrophes,7314:  punctuation marks such as quotation marks and apostrophes
19,-0.24,"4374: elements of humor, particularly dark and inappropriate humor",5484:  references to notable achievements or events related to advancements and recognitions
20,0.2383,5484:  references to notable achievements or events related to advancements and recognitions,5484:  references to notable achievements or events related to advancements and recognitions
21,-0.2378,499: features and attributes related to product descriptions and specifications,13492: numerical data and date representations
22,0.2329,"4374: elements of humor, particularly dark and inappropriate humor","4374: elements of humor, particularly dark and inappropriate humor"
23,-0.2328,5484:  references to notable achievements or events related to advancements and recognitions,"4374: elements of humor, particularly dark and inappropriate humor"
24,0.2311,16266:  numerical data and mathematical expressions,16266:  numerical data and mathematical expressions
25,-0.2283,16266:  numerical data and mathematical expressions,7942: references to event registration and participation details
26,0.2257,9009:  programming-related terms and code structure elements,9009:  programming-related terms and code structure elements
