,OV Circuit Value,Value Feature,Output Feature
0,0.4546,11087: specific structural elements or commands in programming and mathematical contexts,9340:  references to categories and identifiers related to film genres
1,-0.4368,11087: specific structural elements or commands in programming and mathematical contexts,8973: references to population characteristics and relationships between features in a dataset
2,0.3782,11087: specific structural elements or commands in programming and mathematical contexts,10964: mathematical terms and symbols
3,-0.375,11087: specific structural elements or commands in programming and mathematical contexts,14393:  strings that indicate formatting or structured data outputs
4,0.314,11087: specific structural elements or commands in programming and mathematical contexts,6692: phrases indicating connections between significant political figures and historical events
5,-0.312,11087: specific structural elements or commands in programming and mathematical contexts,8885:  programming concepts related to system checks and configurations
6,0.2563,14717:  code-related syntactical elements indicating assignments and error handling,9340:  references to categories and identifiers related to film genres
7,-0.2463,14717:  code-related syntactical elements indicating assignments and error handling,8973: references to population characteristics and relationships between features in a dataset
8,0.2314,4093:  non-standard whitespace or formatting characters in text,9340:  references to categories and identifiers related to film genres
9,-0.2219,4093:  non-standard whitespace or formatting characters in text,8973: references to population characteristics and relationships between features in a dataset
10,-0.2137,11087: specific structural elements or commands in programming and mathematical contexts,8524:  code-related function definitions and their parameters
11,0.2103,14717:  code-related syntactical elements indicating assignments and error handling,10964: mathematical terms and symbols
12,-0.2084,14717:  code-related syntactical elements indicating assignments and error handling,14393:  strings that indicate formatting or structured data outputs
13,0.1978,3897: phrases relating to groups of individuals and their characteristics,"2074: references to algorithms, classifications, and methods involved in data processing and analysis"
14,0.182,14717:  code-related syntactical elements indicating assignments and error handling,6692: phrases indicating connections between significant political figures and historical events
15,-0.1809,14717:  code-related syntactical elements indicating assignments and error handling,8885:  programming concepts related to system checks and configurations
16,0.1798,4093:  non-standard whitespace or formatting characters in text,10964: mathematical terms and symbols
17,-0.178,4093:  non-standard whitespace or formatting characters in text,14393:  strings that indicate formatting or structured data outputs
18,0.1747,11818: locations and movements within physical spaces,10794:  references to specific attributes or benefits related to products and services
19,0.1707,4093:  non-standard whitespace or formatting characters in text,6692: phrases indicating connections between significant political figures and historical events
20,-0.1694,4093:  non-standard whitespace or formatting characters in text,8885:  programming concepts related to system checks and configurations
21,0.1594,12169: terms related to medical therapies and their effects,6799: references to costs associated with health care and other contextual indicators
22,-0.1501,9354:  sequences of ellipses or repeated symbols used in mathematical expressions,10794:  references to specific attributes or benefits related to products and services
23,-0.1469,11087: specific structural elements or commands in programming and mathematical contexts,3675: numerical values and financial figures related to donations and earnings
24,0.1442,11087: specific structural elements or commands in programming and mathematical contexts,13750: terms related to consent and approvals in research contexts
25,0.1381,4499:  programming elements and statements related to managing data sources and server configurations,9013: references to mutual relationships and interactions between individuals
26,0.1364,14689:  numerical values and phone numbers,4384:  technical and programming-related keywords and structures
27,0.1361,349:  contractions and possessive words,9340:  references to categories and identifiers related to film genres
28,0.1346,1070:  XML or HTML tag elements,4330: descriptive phrases related to visual appearances and technical details
29,-0.1339,11087: specific structural elements or commands in programming and mathematical contexts,11367: quantities or references to time and measurement
30,0.1333,11087: specific structural elements or commands in programming and mathematical contexts,"10762:  various aspects related to names and references of individuals, particularly in academic or formal contexts"
31,0.1312,6291:  punctuation marks and sentence termination,9340:  references to categories and identifiers related to film genres
32,0.1298,1309: sections or headings related to procedure and historical background in documents,15451:  markers indicating the start of a new segment or topic in a document
33,-0.1295,349:  contractions and possessive words,8973: references to population characteristics and relationships between features in a dataset
34,0.1294,1678: elements related to innovation and entrepreneurship,"9587: characters and their interactions in narratives, particularly involving personal relationships and dynamics"
35,-0.129,4093:  non-standard whitespace or formatting characters in text,8524:  code-related function definitions and their parameters
36,-0.1283,14717:  code-related syntactical elements indicating assignments and error handling,8524:  code-related function definitions and their parameters
37,-0.1274,12169: terms related to medical therapies and their effects,"7120: numeric values, measurements, and scientific data"
38,0.1272,7778: topics related to discussions and panels on innovation and sustainability,4330: descriptive phrases related to visual appearances and technical details
39,0.127,15436: terms related to pregnancy and maternal health,15841:  discourse markers and indicators of structure in text
40,-0.1267,6291:  punctuation marks and sentence termination,8973: references to population characteristics and relationships between features in a dataset
41,-0.1242,1309: sections or headings related to procedure and historical background in documents,5947: terms associated with nuclear energy and its applications
42,0.1235,1070:  XML or HTML tag elements,10187:  conjunctions and phrases indicating addition or connection
43,0.1206,14438: mention of contracts and contractual agreements,10794:  references to specific attributes or benefits related to products and services
44,-0.12036,6879: technical terms and concepts related to scientific methods and measurements,4384:  technical and programming-related keywords and structures
45,-0.12024,13760: phrases indicating requirements or conditions,15451:  markers indicating the start of a new segment or topic in a document
46,0.1196,11526:  phrases that indicate a necessity or requirement in a context,4330: descriptive phrases related to visual appearances and technical details
47,0.1192,8611:  programming constructs related to data types and structures,6374:  phrases related to marriage and family relationships
48,0.11804,6470:  punctuation marks and certain other formatting elements in the text,4330: descriptive phrases related to visual appearances and technical details
49,0.1175,11087: specific structural elements or commands in programming and mathematical contexts,1558: statements about deception and dishonesty
50,-0.1172,8611:  programming constructs related to data types and structures,10853:  references to time-related events or durations
51,0.11676,13760: phrases indicating requirements or conditions,5947: terms associated with nuclear energy and its applications
52,-0.116,2142: expressions of appreciation and requests for feedback,4384:  technical and programming-related keywords and structures
53,-0.11584,12169: terms related to medical therapies and their effects,5723: structured programming language syntax elements and definitions
54,0.1152,6495: phrases related to user permissions and access rights,8423:  components related to inventions and technical designs
55,0.11475,4458: elements related to mathematical functions and operations,"7120: numeric values, measurements, and scientific data"
56,0.1146,7778: topics related to discussions and panels on innovation and sustainability,10187:  conjunctions and phrases indicating addition or connection
57,0.11255,13271: references to metrics or assessments related to health or medical conditions,4384:  technical and programming-related keywords and structures
58,0.1125,4701: references to mathematical or scientific elements and principles,4384:  technical and programming-related keywords and structures
59,0.11176,"12330: references to political and social movements, particularly those marked by resistance or counter-revolutionary sentiments",1874: references to medical conditions and associated terms related to implants and various health issues
60,0.1113,12914:  phrases related to mental health and its impacts on individuals and society,"2074: references to algorithms, classifications, and methods involved in data processing and analysis"
61,0.1102,"523: components related to system configurations and frameworks, particularly in programming contexts",4926:  code structure elements related to variable definitions and assignments in programming
62,0.11005,6470:  punctuation marks and certain other formatting elements in the text,10187:  conjunctions and phrases indicating addition or connection
63,-0.1099,11087: specific structural elements or commands in programming and mathematical contexts,3883: specific terms and phrases related to mathematical or scientific concepts
64,0.10956,"12330: references to political and social movements, particularly those marked by resistance or counter-revolutionary sentiments",4330: descriptive phrases related to visual appearances and technical details
65,0.10944,14071: punctuation marks and numerical values in the text,"14232: references to social roles and expectations, particularly regarding gender and authority"
66,-0.1092,6005: phrases related to societal criticisms and discussions about historical injustices,13286: expressions of support and care within interpersonal relationships
67,-0.1087,3576: legal terminology and concepts related to court proceedings,6374:  phrases related to marriage and family relationships
68,-0.10815,4776: references to education and educational systems,13286: expressions of support and care within interpersonal relationships
69,-0.10815,12169: terms related to medical therapies and their effects,9255: mentions of jobs and employment-related topics
70,0.10815,"5775: references to media, events, and entities involved in entertainment and culture",12083: questions and responses related to logical operations and conditions
71,0.108,9597: elements related to scientific measurements and experimental methods,4127: comments and code block delimiters in programming text
72,0.1077,11052:  programming or coding terms related to functions and variables,8857: conditional statements and comparisons in code
73,0.1077,3576: legal terminology and concepts related to court proceedings,10853:  references to time-related events or durations
74,0.1061,1519:  references to statistical methods and methodologies in research,4330: descriptive phrases related to visual appearances and technical details
75,0.10516,5719: sentence-ending punctuation marks,10964: mathematical terms and symbols
76,-0.1043,5719: sentence-ending punctuation marks,14393:  strings that indicate formatting or structured data outputs
77,0.103,4776: references to education and educational systems,3744:  technical terms and annotations related to programming and software development
78,0.1025,11074:  references to date and time functions in programming,5529: topics related to statistical analysis and validity in research studies
79,0.1023,4342:  programming commands and their parameters in scripts,15841:  discourse markers and indicators of structure in text
80,0.1017,349:  contractions and possessive words,6692: phrases indicating connections between significant political figures and historical events
81,0.10144,81: references to regular expressions and their components in programming contexts,4079:  instances of numerical data and coding syntax
82,-0.10095,349:  contractions and possessive words,8885:  programming concepts related to system checks and configurations
83,0.1007,"12012: references to political positions and roles, particularly in a historical context",1874: references to medical conditions and associated terms related to implants and various health issues
84,-0.1003,9597: elements related to scientific measurements and experimental methods,10856: discussions about government and financial governance
85,0.1003,15449:  patterns and structures involving numerical data or statistics,6983: terms related to software and publishing identifiers
86,0.1,2411: technical terms related to chemistry and materials science,9255: mentions of jobs and employment-related topics
87,0.1,6327: statements that indicate a modification or adjustment in a process or argument,13286: expressions of support and care within interpersonal relationships
88,0.0996,4256: technical terms related to scientific procedures and materials,"9587: characters and their interactions in narratives, particularly involving personal relationships and dynamics"
89,0.09894,9620: structured data related to telecommunication statistics and subscription details,12083: questions and responses related to logical operations and conditions
90,0.09766,6291:  punctuation marks and sentence termination,6692: phrases indicating connections between significant political figures and historical events
91,0.0975,11087: specific structural elements or commands in programming and mathematical contexts,3291: phrases emphasizing attention to detail and factual information in discussions
92,-0.09717,6291:  punctuation marks and sentence termination,8885:  programming concepts related to system checks and configurations
93,0.09705,349:  contractions and possessive words,10964: mathematical terms and symbols
94,-0.09674,12169: terms related to medical therapies and their effects,14235: terms and phrases that indicate scientific findings or implications
95,-0.096,349:  contractions and possessive words,14393:  strings that indicate formatting or structured data outputs
96,0.0953,6495: phrases related to user permissions and access rights,"14232: references to social roles and expectations, particularly regarding gender and authority"
97,0.0952,2142: expressions of appreciation and requests for feedback,8322: structured data types and mathematical function terminology
98,-0.09503,"5775: references to media, events, and entities involved in entertainment and culture","8784: phrases related to computational or programming contexts, especially those involving variables, conditions, or specifications"
99,0.0947,14834: visual elements in the document,"2074: references to algorithms, classifications, and methods involved in data processing and analysis"
100,0.09467,"12321: proper nouns, specifically names of people",9340:  references to categories and identifiers related to film genres
101,0.09454,4314:  phrases relating to legal processes and judicial terminology,"2074: references to algorithms, classifications, and methods involved in data processing and analysis"
102,0.0943,5719: sentence-ending punctuation marks,9340:  references to categories and identifiers related to film genres
103,0.09406,4130:  technical terms related to networking or computer protocols,12083: questions and responses related to logical operations and conditions
104,-0.09375,14689:  numerical values and phone numbers,8322: structured data types and mathematical function terminology
105,0.0933,"523: components related to system configurations and frameworks, particularly in programming contexts",10794:  references to specific attributes or benefits related to products and services
106,0.093,638:  copyright-related terms and references,1874: references to medical conditions and associated terms related to implants and various health issues
107,-0.0929,13286: keywords and terms related to viruses and mutations,13286: expressions of support and care within interpersonal relationships
108,0.0927,10780: elements related to HTML and JavaScript structures,7691: names of individuals and their associated roles or titles
109,0.0927,11087: specific structural elements or commands in programming and mathematical contexts,8608:  textual references and citations in various formats
110,0.0926,387: terms related to durability and lifespan of materials and products,3069: symbols or identifiers related to mathematical or programming contexts
111,0.0925,10780: elements related to HTML and JavaScript structures,9013: references to mutual relationships and interactions between individuals
112,0.09247,11897: special characters and syntax patterns commonly used in programming or markup languages,4384:  technical and programming-related keywords and structures
113,0.09235,"1846: the preposition ""on"" in various contexts","2074: references to algorithms, classifications, and methods involved in data processing and analysis"
114,0.09235,9354:  sequences of ellipses or repeated symbols used in mathematical expressions,"10833: technical terms related to programming, referencing, and document structure"
115,0.09235,9427: text related to political hypocrisy and critique of actions versus stated principles,4926:  code structure elements related to variable definitions and assignments in programming
116,0.0923,7190:  programming functions and their components,12044:  instances of plate-related phrases and discussions around culinary experiences
117,0.09174,11074:  references to date and time functions in programming,14779: references to legal or contractual matters
118,0.09155,9687: language related to injustices and societal issues,4918: connections between genes and their regulatory sequences
119,0.09155,2411: technical terms related to chemistry and materials science,"7120: numeric values, measurements, and scientific data"
120,-0.09143,"12321: proper nouns, specifically names of people",8973: references to population characteristics and relationships between features in a dataset
121,0.0912,5804: technical code and programming-related terms,10964: mathematical terms and symbols
122,-0.09106,5804: technical code and programming-related terms,14393:  strings that indicate formatting or structured data outputs
123,0.0909,12169: terms related to medical therapies and their effects,4079:  instances of numerical data and coding syntax
124,-0.0909,14516: elements related to mathematical or programming structures and syntax,6983: terms related to software and publishing identifiers
125,0.09076,6879: technical terms and concepts related to scientific methods and measurements,8322: structured data types and mathematical function terminology
126,0.09076,"12725: references to the ""Milton Freewater"" area and its related dating services",8052: percentages and statistical data related to studies or surveys
127,0.0906,11636: symbols and mathematical notations related to equations or notation,11911: terms related to historical figures and locations
128,0.09,12973: elements related to biological sequences and genetic analysis,4772: words and phrases related to existential crises and emotional struggles
129,-0.0899,5719: sentence-ending punctuation marks,8973: references to population characteristics and relationships between features in a dataset
130,0.0897,12169: terms related to medical therapies and their effects,9392: references to population management and conservation issues related to wildlife
131,0.08966,4093:  non-standard whitespace or formatting characters in text,13750: terms related to consent and approvals in research contexts
132,-0.08954,6327: statements that indicate a modification or adjustment in a process or argument,3744:  technical terms and annotations related to programming and software development
133,-0.0894,4046:  topics related to system monitoring and control mechanisms,6799: references to costs associated with health care and other contextual indicators
134,0.0891,11039:  statements and reports related to police activities and official communications,15841:  discourse markers and indicators of structure in text
135,0.089,11087: specific structural elements or commands in programming and mathematical contexts,16131: terms related to friendliness and positive social interactions
136,0.0889,1519:  references to statistical methods and methodologies in research,14779: references to legal or contractual matters
137,0.08875,6291:  punctuation marks and sentence termination,10964: mathematical terms and symbols
138,0.08844,11703: content related to complex relationships and classifications,"2074: references to algorithms, classifications, and methods involved in data processing and analysis"
139,-0.08826,3972:  various numerical values and their representations in the text,10964: mathematical terms and symbols
140,-0.0882,2411: technical terms related to chemistry and materials science,6799: references to costs associated with health care and other contextual indicators
141,0.08813,3972:  various numerical values and their representations in the text,14393:  strings that indicate formatting or structured data outputs
142,0.0881,"9289: numeric values and structured formats, particularly those that appear in data representations and web links","12918:  buttons, button-related actions, and user interface elements related to calculations or submissions"
143,0.0881,4046:  topics related to system monitoring and control mechanisms,"7120: numeric values, measurements, and scientific data"
144,-0.088,6291:  punctuation marks and sentence termination,14393:  strings that indicate formatting or structured data outputs
145,-0.088,9620: structured data related to telecommunication statistics and subscription details,"8784: phrases related to computational or programming contexts, especially those involving variables, conditions, or specifications"
146,0.088,5543: code related to graphical attributes and transformations,4330: descriptive phrases related to visual appearances and technical details
147,0.08795,1519:  references to statistical methods and methodologies in research,10187:  conjunctions and phrases indicating addition or connection
