,QK Circuit Value,Key Feature,Query Feature
0,0.0976,3476: references to surface-related concepts and properties,8517:  numerical patterns or symbols related to lists or sequences
1,0.0662,1374: common symbols or mathematical notations related to set theory and graph theory,8517:  numerical patterns or symbols related to lists or sequences
2,0.06494,7352:  structured data formats and attributes within documents,6062:  phrases related to authority and compliance
3,0.0642,12570: references to faces or facial features,14662: various sounds and noises described in the text
4,0.0637,14859: specific names and references related to locations and events,5864: terms related to financial transactions and deposits
5,0.0628,13408: lists of numbered items and their classifications or evaluations,8517:  numerical patterns or symbols related to lists or sequences
6,0.0621,"2069: specific proper nouns, particularly names and titles",5864: terms related to financial transactions and deposits
7,0.062,3302: phrases involving details of legal cases and actions taken within them,8517:  numerical patterns or symbols related to lists or sequences
8,0.0608,10553: references to military threats and potential risks involving individuals,3160:  programming syntax and coding structures
9,0.0606,7352:  structured data formats and attributes within documents,14662: various sounds and noises described in the text
10,0.0606,11087: specific structural elements or commands in programming and mathematical contexts,12085: instructions and guides for how to perform tasks or solve problems
11,0.06033,6576: HTML and XML markup tags,8517:  numerical patterns or symbols related to lists or sequences
12,0.0591,"759: references to fakeness or deception, particularly in the context of news and representations",8517:  numerical patterns or symbols related to lists or sequences
13,0.05896,12202: numerical values and their relationships in a data context,8517:  numerical patterns or symbols related to lists or sequences
14,0.05804,5815:  numerical or tabular data relevant to various contexts,9295: terms related to programming exceptions and errors in software development
15,0.0576,"15335: references to academic departments, institutions, and legal entities",13384: complex structured elements in data
16,0.05566,13844: references to social connections and communal engagement,8517:  numerical patterns or symbols related to lists or sequences
17,0.05502,2989: statistical significance indicators in research findings,16241: legal terminology related to court cases and appeals
18,0.05475,12958: terms related to product quality and effectiveness,6605:  frequencies of occurrences or items in lists and counts
19,0.05466,10186:  references to military events and significant historical actions,6605:  frequencies of occurrences or items in lists and counts
20,0.0546,4436: topics related to technology and data management,16093: words related to physical interactions and conflicts
21,0.05438,12182: mentions of significant life events or experiences related to medical or professional contexts,8517:  numerical patterns or symbols related to lists or sequences
22,0.05362,7352:  structured data formats and attributes within documents,"1065:  instances of the word ""instead"" and its variations, indicating a preference for alternatives or changes in perspective"
23,0.0534,2714: assignment operations or expressions in code,6605:  frequencies of occurrences or items in lists and counts
24,0.05334,7352:  structured data formats and attributes within documents,13640: phrases related to safety features and usability in products
25,0.05286,4517:  programming-related keywords and structure in code snippets,8517:  numerical patterns or symbols related to lists or sequences
26,0.05267,7352:  structured data formats and attributes within documents,1238:  specific numerical data or results
27,0.0526,7352:  structured data formats and attributes within documents,14124: actions and processes related to experimentation and change
28,0.05255,9184:  instances of commas and punctuation that lead into statements or clauses,6605:  frequencies of occurrences or items in lists and counts
29,0.05197,7352:  structured data formats and attributes within documents,13384: complex structured elements in data
30,0.05164,14382:  references to structured data formats or specifications,819:  structured data presentation and numerical information
31,0.05164,4118: specific programming constructs or syntactic elements related to function definitions and method calls,1238:  specific numerical data or results
32,0.05124,1974: references to design elements that maximize space efficiency,16093: words related to physical interactions and conflicts
33,0.05115,5447: terms related to variation and its impact in different contexts,10543:  coordinating conjunctions used to connect clauses or phrases
34,0.051,11087: specific structural elements or commands in programming and mathematical contexts,12615: references to characters and relationships in narratives
35,0.0508,9975: terms related to measurement and statistical analysis,5864: terms related to financial transactions and deposits
36,0.05075,"11845: references to key roles and positions within organizations, particularly in relation to leadership and formal titles",13384: complex structured elements in data
37,0.0506,4419: terms related to scientific variables and complex interactions,1818: references to academic institutions and legal contexts
38,0.0504,6780: negative portrayals of individuals or groups in relation to societal issues,16093: words related to physical interactions and conflicts
39,0.05032,9077: code snippets related to data manipulation and queries in programming contexts,513: expressions of unfortunate circumstances or negative outcomes
40,0.05005,513: expressions of unfortunate circumstances or negative outcomes,1974: references to design elements that maximize space efficiency
41,0.05002,7018: phrases indicating legal or procedural actions related to rights and permissions,8517:  numerical patterns or symbols related to lists or sequences
