,OV Circuit Value,Value Feature,Output Feature
0,0.973,"2012: instances of the word ""already"" in various contexts",8487:  scientific measurements and their implications
1,-0.9707,3732: punctuation marks,8487:  scientific measurements and their implications
2,0.9575,9295: terms related to programming exceptions and errors in software development,27: technical terms and concepts related to object-role modeling and database queries
3,-0.954,11541:  coding elements related to data parsing and storage operations,27: technical terms and concepts related to object-role modeling and database queries
4,0.94,11541:  coding elements related to data parsing and storage operations,11639:  mathematical operations and programming constructs related to vector calculations
5,-0.9395,9295: terms related to programming exceptions and errors in software development,11639:  mathematical operations and programming constructs related to vector calculations
6,0.913,3732: punctuation marks,738: entities related to organizations and institutional frameworks
7,-0.8677,"2012: instances of the word ""already"" in various contexts",738: entities related to organizations and institutional frameworks
8,0.715,6052: object properties and their associated methods in programming contexts,15278: keywords related to job postings in the healthcare field
9,-0.7026,6052: object properties and their associated methods in programming contexts,6954: references to boys and masculinity
10,-0.7017,7507: numerical data and references related to statistics and measurements,15278: keywords related to job postings in the healthcare field
11,0.694,7507: numerical data and references related to statistics and measurements,6954: references to boys and masculinity
12,0.6934,3391: terms related to scientific research and methodology,"13811: specific coding constructs and structure, particularly related to object-oriented programming elements like classes and unique identifiers"
13,-0.6753,"9932: functions and events related to programming, particularly those involving event handling and listener methods",14631:  terms related to procedural steps and algorithms
14,0.673,1745: questions and mathematical operations involving problem-solving,11576: terms related to legal documentation and identification processes
15,0.668,"9932: functions and events related to programming, particularly those involving event handling and listener methods",6733: details related to room features and rental conditions
16,-0.6597,1942:  rankings and positions of institutions or programs,11576: terms related to legal documentation and identification processes
17,-0.6587,1745: questions and mathematical operations involving problem-solving,965:  references to gender equality and disparities
18,0.6562,14781: elements related to user interaction and token verification in a digital workspace,14631:  terms related to procedural steps and algorithms
19,-0.6494,3391: terms related to scientific research and methodology,"13176:  code structures, particularly comments and namespace declarations in programming languages"
20,0.6484,1942:  rankings and positions of institutions or programs,965:  references to gender equality and disparities
21,-0.6465,14781: elements related to user interaction and token verification in a digital workspace,6733: details related to room features and rental conditions
22,-0.6416,13430: mathematical constructs and expressions,331: mathematical equations and expressions
23,0.639,13430: mathematical constructs and expressions,15082: references related to mathematical or scientific notation and parameters
24,0.6387,2565: references to rural locations and related entities,331: mathematical equations and expressions
25,-0.635,2565: references to rural locations and related entities,15082: references related to mathematical or scientific notation and parameters
26,-0.6245,8437: data references and statistics related to biological experiments,13260:  elements associated with input fields and forms
27,0.623,9681: historical references related to laws and legal cases,13260:  elements associated with input fields and forms
28,0.619,8437: data references and statistics related to biological experiments,12800: specific references to successful authors and their works
29,-0.616,9681: historical references related to laws and legal cases,12800: specific references to successful authors and their works
30,0.615,10640:  keywords and references related to academic or scientific sources,27: technical terms and concepts related to object-role modeling and database queries
31,-0.5996,10640:  keywords and references related to academic or scientific sources,11639:  mathematical operations and programming constructs related to vector calculations
32,-0.569,"13182:  proper nouns, particularly names and titles",27: technical terms and concepts related to object-role modeling and database queries
33,0.5557,"13182:  proper nouns, particularly names and titles",11639:  mathematical operations and programming constructs related to vector calculations
34,-0.5547,3732: punctuation marks,"8805: phrases related to experimentation, particularly in scientific or technical contexts"
35,0.544,3732: punctuation marks,15340:  concepts related to citizenship and government representation
36,0.5396,"2012: instances of the word ""already"" in various contexts","8805: phrases related to experimentation, particularly in scientific or technical contexts"
37,0.532,"5945:  numerical parameters or attributes, particularly those related to maximum and minimum values","13811: specific coding constructs and structure, particularly related to object-oriented programming elements like classes and unique identifiers"
38,-0.5312,"2012: instances of the word ""already"" in various contexts",15340:  concepts related to citizenship and government representation
39,0.531,1023: comma-separated lists or sequences of items,616:  code snippets and syntax related to programming and data handling
40,-0.528,1023: comma-separated lists or sequences of items,"2577: specific references to legal, governmental, or institutional entities and their actions"
41,-0.528,12298: scientific or academic terminology and references,"13811: specific coding constructs and structure, particularly related to object-oriented programming elements like classes and unique identifiers"
42,-0.5244,6643: phrases related to sports statistics and performances,616:  code snippets and syntax related to programming and data handling
43,0.5234,6643: phrases related to sports statistics and performances,"2577: specific references to legal, governmental, or institutional entities and their actions"
44,0.495,"11671: terms related to statistical parameters and coefficients, particularly in the context of regression analysis",14631:  terms related to procedural steps and algorithms
45,-0.493,"11671: terms related to statistical parameters and coefficients, particularly in the context of regression analysis",6733: details related to room features and rental conditions
46,-0.4922,"5945:  numerical parameters or attributes, particularly those related to maximum and minimum values","13176:  code structures, particularly comments and namespace declarations in programming languages"
47,0.4912,12298: scientific or academic terminology and references,"13176:  code structures, particularly comments and namespace declarations in programming languages"
48,-0.4753,829:  mathematical expressions and formulas,16190: 
49,-0.4746,12298: scientific or academic terminology and references,7539:  references to specific variables and mathematical expressions
50,0.4744,"5945:  numerical parameters or attributes, particularly those related to maximum and minimum values",7539:  references to specific variables and mathematical expressions
51,0.472,829:  mathematical expressions and formulas,13704:  structured data related to financial or algorithmic contexts
52,0.4705,8117: names of countries and items related to gender equality and healthcare,16190: 
