,OV Circuit Value,Value Feature,Output Feature
0,0.2335,8977:  sections of text that contain no substantive content,11463:  programming concepts related to graph structures and their properties
1,-0.1835,9295: terms related to programming exceptions and errors in software development,27: technical terms and concepts related to object-role modeling and database queries
2,0.1832,"13374: technical terms and concepts related to physics or engineering, particularly those concerning magnetic fields and particle behavior",10457: strings or representations of date and time
3,0.181,7033: terms related to economic crises and their impacts,2855: alternative options and conditional phrases
4,0.18,11541:  coding elements related to data parsing and storage operations,27: technical terms and concepts related to object-role modeling and database queries
5,0.1785,"12051:  references to legal and judicial contexts, especially pertaining to North Carolina",4370: special formatting characters or symbols
6,0.1781,9295: terms related to programming exceptions and errors in software development,11639:  mathematical operations and programming constructs related to vector calculations
7,0.1749,3095: numerical data and statistics related to educational metrics,2073:  numerical data and statistics related to measurements
8,-0.1741,11541:  coding elements related to data parsing and storage operations,11639:  mathematical operations and programming constructs related to vector calculations
9,-0.1692,10192: numerical values or scores,13267:  logging statements related to events and their severity in code
10,0.1667,14376: emphasis markers and formatting elements in documents,5932:  concepts related to long-term outcomes and investments
11,-0.1644,"8252:  mentions of the ""mi"" RNA family",7143: elements related to scientific notation or formatting in mathematical or technical contexts
12,0.1602,4584: phrases related to statistical measurements and observed data frequencies,7143: elements related to scientific notation or formatting in mathematical or technical contexts
13,0.1588,6922: words and phrases related to segmentation and classification,13679:  occurrences of specific phrases or references that indicate procedural documentation
14,0.1559,3267: references to small or diminutive concepts and entities,3873: structured legal text indicating court cases and administrative procedures
15,0.152,7280:  references to financial years and seasons,8674: connections related to transportation and travel
16,0.1509,9807: specific responses and error messages in code,12381:  elements related to technical terminology
17,0.1475,5490: actions related to searching or locating something,3799: concepts related to rituals and offerings in spiritual or religious contexts
18,0.1464,9295: terms related to programming exceptions and errors in software development,3009: pronouns and their contextual implications
19,-0.1459,9295: terms related to programming exceptions and errors in software development,14952:  punctuation marks and formatting elements in the text
20,0.1453,13279: information related to historical events and important dates,6299:  numerical data related to population statistics and class sizes
21,-0.1445,11541:  coding elements related to data parsing and storage operations,3009: pronouns and their contextual implications
22,0.1442,11541:  coding elements related to data parsing and storage operations,14952:  punctuation marks and formatting elements in the text
23,0.1437,"12236:  references to technical specifications or details in a context, especially relating to computing or scientific descriptions",16039:  references to assigned roles or responsibilities in a structured environment
24,0.1422,3146: names and contact information related to individuals and organizations,9826: mathematical expressions and notation
25,0.1418,3561: significant contextual markers or structural cues within scientific or technical writing,11377: legal terminology and references to court cases
26,-0.141,13744: terms related to health conditions and their classifications,7301: the presence of specific verbs and phrases indicating actions or events
27,0.1407,11412: statistical references and data,7301: the presence of specific verbs and phrases indicating actions or events
28,0.1404,13744: terms related to health conditions and their classifications,9202:  numerical data and formatting symbols
29,0.1403,"11957: Java access modifiers, specifically ""public"" and ""protected""",10811: phrases related to mechanisms and methods in scientific or technical contexts
30,-0.1388,6884: descriptive phrases related to trails and their conditions,5932:  concepts related to long-term outcomes and investments
31,-0.1385,11412: statistical references and data,9202:  numerical data and formatting symbols
32,-0.1377,2658:  numerical values and associated variables or parameters,11377: legal terminology and references to court cases
33,0.1372,7857:  references to Los Angeles and its neighborhoods or notable locations,10172:  scientific terminology related to mathematical and physical measurements
34,-0.1372,3561: significant contextual markers or structural cues within scientific or technical writing,7578: references to spirit and spirituality
35,0.137,5039: information related to medical conditions and their treatments or monitoring,6947: sources and references in text
36,0.1361,10653: concepts related to health care ethics and spirituality,6999:  scientific terms and concepts related to cellular and molecular biology
37,0.136,1440: text related to programming concepts and technical details,11652:  references to monetary transactions or expenditures
38,-0.1354,15288: technical terminology and programming constructs related to data processing and validation,10054: terms related to sponges and their biological processes
39,0.1351,15269: technical terms and definitions related to programming constructs or data structures,13267:  logging statements related to events and their severity in code
40,-0.1351,4584: phrases related to statistical measurements and observed data frequencies,4370: special formatting characters or symbols
41,0.1348,4578: instances of significant economic terminology related to health and medicine,10054: terms related to sponges and their biological processes
42,0.1348,1610:  references to upcoming events or episodes,"12073: text discussing changes or updates in procedures or systems, particularly in a technical context"
43,0.1342,2658:  numerical values and associated variables or parameters,7578: references to spirit and spirituality
44,0.1338,15288: technical terminology and programming constructs related to data processing and validation,6895:  phrases related to requests or inquiries for assistance
45,0.133,"8252:  mentions of the ""mi"" RNA family",4370: special formatting characters or symbols
46,0.1329,7178: terms related to scientific processes and structures,4718: financial performance metrics and their implications
47,0.1328,2943: references to factors or elements that influence various outcomes or behaviors,13679:  occurrences of specific phrases or references that indicate procedural documentation
48,-0.1321,12198: discussions around access and provisions in contexts of support or rights,3992: expressions of personal experiences and social interactions
49,-0.1317,4578: instances of significant economic terminology related to health and medicine,6895:  phrases related to requests or inquiries for assistance
50,0.1313,6271: structured data related to database entries,5932:  concepts related to long-term outcomes and investments
51,0.13,7075: phrases that emphasize concentration and attention,13679:  occurrences of specific phrases or references that indicate procedural documentation
52,0.1289,7280:  references to financial years and seasons,2072: elements related to gaming mechanics and role-playing game terminology
53,0.1287,14538:  recurrent phrases indicating repetition or continuation,3992: expressions of personal experiences and social interactions
54,0.1282,1868: technical terminology and references related to organizations or specific fields,6485:  technical terms and references related to system components and configurations
55,0.128,4013: topics related to training and preparation processes,13065:  terms related to classification and management processes
56,0.1279,7854: complex mathematical or scientific expressions and terminologies,10457: strings or representations of date and time
57,0.1277,143: numbers and numerical data,3648: the start of structured text or documents
58,-0.1274,6326:  data structure definitions and memory allocation patterns in code,4441:  file paths and user directory information
59,0.1274,9014: elements related to mathematical or programming functions and operations,8999: elements related to nutritional deficiencies and public health issues
60,0.1274,"11957: Java access modifiers, specifically ""public"" and ""protected""",12539: phrases related to awards and recognitions in various fields
61,0.127,11882: phrases indicating discomfort or distress,5108: elements related to authority and decision-making
62,0.127,"8093: references to violence in media and fiction, particularly in cartoons and their effects",10811: phrases related to mechanisms and methods in scientific or technical contexts
63,0.1266,"3984: mentions of ""death"" and related concepts","1778: text that discusses communication and discourse, particularly in relation to therapy, documentation, and legal contexts"
64,0.1259,15269: technical terms and definitions related to programming constructs or data structures,13430: phrases related to mechanisms and processes in biochemical and medical contexts
65,0.1256,7159: references to cell types and related biological concepts,9043:  references to weather and related phenomena
66,-0.1243,8767:  concepts related to environmental sustainability and privacy in data handling,6485:  technical terms and references related to system components and configurations
67,0.124,"13018: specific keywords or titles indicative of various subjects and contexts, such as live events, organizations, and technical processes",12125:  expressions related to positive sentiment and support for social initiatives
68,0.12305,10669: references to morning and morning-related activities,10457: strings or representations of date and time
69,0.12256,6201:  technical terminology and function definitions in a programming or mathematical context,1853:  elements related to player skills and abilities
70,0.12164,"15099: instances of social and familial dynamics, particularly in discussions around gender roles and responsibilities",10811: phrases related to mechanisms and methods in scientific or technical contexts
71,0.1216,13984:  specific keywords or names related to particular topics or entities,4441:  file paths and user directory information
72,0.1211,14264:  references to aspects of leadership and emotional intelligence,"7361: discussions about factors and their impacts in various contexts, often related to decision-making and societal issues"
73,0.1208,"3030: proper nouns, particularly names of people and entities",15053: dates and temporal references
74,0.12036,9395: phrases related to strategic planning and development,2920:  quotes or speech in the text
75,0.1202,5842:  function definitions and keyword-related syntax in programming,7324:  the presence of quantifiable data points related to demographics or health metrics
76,0.1194,"2389: references to ""source"" in the context of data or code",13471: quantities and fluctuations related to stock prices and valuations
77,0.1192,4162: mentions of authority in various contexts,15425: memory management operations in programming
78,0.1192,"1047: instances of the word ""avoid"" and its variations, highlighting the concept of avoidance or evasion in various contexts",12148: mathematical principles and theorems related to duality and inequalities
79,0.1191,14338: references to political conflict and accusations,11077: financial and resource allocation terms related to funding and subsidies
80,0.11896,2708:  discussions or references related to economic conditions,3648: the start of structured text or documents
81,0.11835,1522: terms related to population dynamics and genetic variation,16190: 
82,0.1183,11638: elements related to HTML and coding syntax,8096: blocks of code or function declarations
83,0.118,6149: requests for assistance or communication,13679:  occurrences of specific phrases or references that indicate procedural documentation
