,QK Circuit Value,Key Feature,Query Feature
0,0.745,3673: terms and phrases related to reproductive health and fertility,406: issues related to functionality and errors in programming or web development
1,0.6816,406: issues related to functionality and errors in programming or web development,3673: terms and phrases related to reproductive health and fertility
2,0.499,15108:  concepts and discussions related to health care policies and decision-making processes,6013: scientific terms related to genetic mutations and mathematical concepts
3,0.4856,2843: code structure and definitions commonly used in programming,573: references to personal experiences and perceptions
4,0.481,6013: scientific terms related to genetic mutations and mathematical concepts,15108:  concepts and discussions related to health care policies and decision-making processes
5,0.4553,9127: words or phrases that describe strength or capability,573: references to personal experiences and perceptions
6,0.4512,10937: network communication operations and protocols,2352: mentions of specific individuals and organizations involved in political or legal contexts
7,0.4463,406: issues related to functionality and errors in programming or web development,6409: conditional statements and expressions of uncertainty or potential outcomes
8,0.4373,406: issues related to functionality and errors in programming or web development,3261: questions related to personal experiences and advice
9,0.4272,5549: statistical numbers and numerical data related to measurements,"4618: references to time, specifically the concept of ""year"" and its variants"
10,0.4226,3261: questions related to personal experiences and advice,406: issues related to functionality and errors in programming or web development
11,0.4177,8848:  numerical data and statistics,11025: technical terms and references related to systems and methodologies in scientific or engineering contexts
12,0.4124,406: issues related to functionality and errors in programming or web development,9567: instances of common nouns and phrases related to food and dining contexts
13,0.406,8003: sentences that express opinions or reflections on societal issues,1560: instances of research study references and methodological language
14,0.3977,"1749: phrases that describe conditions, requirements, or parameters related to systems or processes",8848:  numerical data and statistics
15,0.3975,3673: terms and phrases related to reproductive health and fertility,3261: questions related to personal experiences and advice
16,0.396,573: references to personal experiences and perceptions,2843: code structure and definitions commonly used in programming
17,0.395,6409: conditional statements and expressions of uncertainty or potential outcomes,1560: instances of research study references and methodological language
18,0.3887,573: references to personal experiences and perceptions,10937: network communication operations and protocols
19,0.3862,15108:  concepts and discussions related to health care policies and decision-making processes,"4618: references to time, specifically the concept of ""year"" and its variants"
20,0.3743,9567: instances of common nouns and phrases related to food and dining contexts,406: issues related to functionality and errors in programming or web development
21,0.3708,3261: questions related to personal experiences and advice,3673: terms and phrases related to reproductive health and fertility
22,0.3628,2843: code structure and definitions commonly used in programming,10937: network communication operations and protocols
23,0.3618,12028: terms related to energy efficiency and the operation of air conditioning systems,13552: information related to scientific methodologies or experimental processes
24,0.3564,"4618: references to time, specifically the concept of ""year"" and its variants",5549: statistical numbers and numerical data related to measurements
25,0.349,8848:  numerical data and statistics,13842: terms related to depression and mental health diagnosis
26,0.3438,11025: technical terms and references related to systems and methodologies in scientific or engineering contexts,8848:  numerical data and statistics
27,0.3384,5549: statistical numbers and numerical data related to measurements,1369: descriptive terms related to horror and extreme negative experiences
28,0.3333,5467:  variables and parameters related to data and experimental results,8848:  numerical data and statistics
29,0.3323,10937: network communication operations and protocols,14620: mathematical symbols and expressions related to functions and operations
30,0.328,15743:  boolean values and their assignments in programming code,920: elements related to digital file management and application settings
31,0.3223,"4618: references to time, specifically the concept of ""year"" and its variants",15108:  concepts and discussions related to health care policies and decision-making processes
32,0.3198,7421: mention of fishing-related terms and phrases,8003: sentences that express opinions or reflections on societal issues
33,0.3186,3511: references to Disney and its associated characters or franchises,8848:  numerical data and statistics
34,0.3167,2439: discussions about political scenarios and consequences,8003: sentences that express opinions or reflections on societal issues
35,0.3162,5677: references to actions or decisions related to judgments or assessments,8003: sentences that express opinions or reflections on societal issues
36,0.3152,6409: conditional statements and expressions of uncertainty or potential outcomes,406: issues related to functionality and errors in programming or web development
37,0.3142,1263: references to population statistics and demographics,6409: conditional statements and expressions of uncertainty or potential outcomes
38,0.3142,8003: sentences that express opinions or reflections on societal issues,9567: instances of common nouns and phrases related to food and dining contexts
39,0.31,295: terms related to trade and its complexities or implications,7647: expressions of gratitude and appreciation
40,0.3076,8003: sentences that express opinions or reflections on societal issues,5677: references to actions or decisions related to judgments or assessments
41,0.3064,2843: code structure and definitions commonly used in programming,2352: mentions of specific individuals and organizations involved in political or legal contexts
42,0.304,16238:  phrases related to structures and mechanisms in technology and science,5549: statistical numbers and numerical data related to measurements
43,0.303,295: terms related to trade and its complexities or implications,8191:  occurrences of specific variable declarations or iterations in code
44,0.2993,15743:  boolean values and their assignments in programming code,9127: words or phrases that describe strength or capability
45,0.2988,5549: statistical numbers and numerical data related to measurements,15108:  concepts and discussions related to health care policies and decision-making processes
46,0.2983,12028: terms related to energy efficiency and the operation of air conditioning systems,16281: keywords and structure related to programming logic and operations
47,0.2964,"10044: mentions of family relationships, particularly focusing on the description of a deceased person and their relatives",8848:  numerical data and statistics
48,0.296,14300:  phrases related to legal and bureaucratic processes,573: references to personal experiences and perceptions
49,0.295,9567: instances of common nouns and phrases related to food and dining contexts,8003: sentences that express opinions or reflections on societal issues
50,0.295,8848:  numerical data and statistics,"1749: phrases that describe conditions, requirements, or parameters related to systems or processes"
51,0.2917,2352: mentions of specific individuals and organizations involved in political or legal contexts,10937: network communication operations and protocols
