,QK Circuit Value,Key Feature,Query Feature
0,0.3792,"4252:  references to the evaluation, validation, or targeting of certain subjects or concepts",12682: comparative phrases discussing advantages and disadvantages between different entities or options
1,0.3005,2943: references to factors or elements that influence various outcomes or behaviors,5812: references to programming languages and relevant code elements
2,0.2837,329: terms and phrases related to emergency evacuation and escape scenarios,11240: the presence of dialog-related components and confirmations
3,0.2747,14956: legal terms and references to court proceedings,"15015: <span command="""">JavaScript event handling and functions related to user interactions in web development.</span>"
4,0.2625,7221: legal terminology and references,8956: references to judgment or decision-making processes
5,0.2568,5259:  instances of criticism and negative evaluations of actions or policies,"12852: the presence of the word ""both"" indicating comparisons or inclusiveness"
6,0.2429,5045:  commands or invitations to participate in activities or events,5812: references to programming languages and relevant code elements
7,0.2427,"3734: references to female subjects, particularly regarding their roles or identities",5812: references to programming languages and relevant code elements
8,0.2365,13755:  statements and arguments related to legal proceedings and judicial responses,5744: words related to warranties and legal disclaimers
9,0.2323,4341: elements related to judicial opinions and procedural summaries,2538: phrases related to collaboration and joint participation in activities or events
10,0.2322,6077: comparative data and financial statistics,5812: references to programming languages and relevant code elements
11,0.2318,5810: names of specific historical or cultural terms,5812: references to programming languages and relevant code elements
12,0.2313,13949:  mathematical expressions and equations,12988: technical terms related to structural engineering and materials
13,0.23,"15560:  multiple segments of structured data, likely in a programming context",11044: phrases related to criminal activity and societal issues
14,0.2296,8931:  restaurant reviews that mention food quality and dining experiences,"8143: references to institutions, events, and administrative processes, particularly in a bureaucratic context"
15,0.2239,4166: numbers and relationships between keywords,5155:  sequences that resemble structured data or code syntax
16,0.2175,11875: logging and debugging commands in code,5744: words related to warranties and legal disclaimers
17,0.2169,6949:  closing or opening curly braces or brackets,5812: references to programming languages and relevant code elements
18,0.2152,"15560:  multiple segments of structured data, likely in a programming context",15577: references to tutorials and guides
19,0.214,3713: the presence of whitespace or blank spaces in the text,5812: references to programming languages and relevant code elements
20,0.2139,"5817: features related to downloading and using software applications, particularly VPNs and file managers",13459:  the start of new sections or significant transitions in text
21,0.2125,14956: legal terms and references to court proceedings,7950:  phrases related to technical specifications or characteristics
22,0.2119,15070: elements related to Eulerian concepts and mathematical structures,5812: references to programming languages and relevant code elements
23,0.207,10388: references or citations related to scientific theories or frameworks,"8143: references to institutions, events, and administrative processes, particularly in a bureaucratic context"
24,0.207,14956: legal terms and references to court proceedings,7400: key political figures and their roles
25,0.2068,7314:  punctuation marks such as quotation marks and apostrophes,7974:  elements related to mathematical utilities and functions
26,0.2059,10434: mathematical expressions and code structure in formatted documents,15863: terms and phrases related to depth and profoundness in various contexts
27,0.2045,4155: customer service-related interactions and responses,11240: the presence of dialog-related components and confirmations
28,0.2025,"15560:  multiple segments of structured data, likely in a programming context",4092: references to educational backgrounds and achievements
29,0.1996,6056:  programming syntax related to function definitions and object creation,11240: the presence of dialog-related components and confirmations
30,0.1996,"5817: features related to downloading and using software applications, particularly VPNs and file managers",15265: code snippets related to programming libraries and imports
31,0.1991,4658: dates and specific events related to December,12654: legal terms and phrases related to citizenship and nationality laws
32,0.198,14460: words and phrases related to locations and positions,11240: the presence of dialog-related components and confirmations
33,0.1979,11094: references to scientific studies and their results,12988: technical terms related to structural engineering and materials
34,0.1947,2260: terms related to legal discussions and forums,5812: references to programming languages and relevant code elements
35,0.1927,545: terms related to energy research and environmental quality,10967: terms and expressions related to scientific studies and their methodologies
36,0.192,15523:  references to the reader and their potential actions or experiences,6675: code and formatting elements within a document
37,0.1892,14101: expressions of sympathy and loss related to deceased loved ones,12682: comparative phrases discussing advantages and disadvantages between different entities or options
38,0.1886,6279:  XML or attribute definitions related to Android app development,7974:  elements related to mathematical utilities and functions
39,0.1821,13492: numerical data and date representations,9800: specific licensing or regulatory terms related to software or products
40,0.1821,6326:  data structure definitions and memory allocation patterns in code,"15015: <span command="""">JavaScript event handling and functions related to user interactions in web development.</span>"
41,0.181,2698: references to Google and its various services and products,5155:  sequences that resemble structured data or code syntax
42,0.1798,9395: phrases related to strategic planning and development,16261:  high confidence measures or strong evidence in statistical data
43,0.1796,907:  varied aspects of scientific methodology and research design,5812: references to programming languages and relevant code elements
44,0.1793,5424:  keywords and functions related to validation processes in programming,12682: comparative phrases discussing advantages and disadvantages between different entities or options
45,0.1765,7332:  programming-related syntax and keywords,"15015: <span command="""">JavaScript event handling and functions related to user interactions in web development.</span>"
46,0.1749,334: references to positions of authority or leadership roles,1658: sequences of syntactic structures and punctuation in code
47,0.1746,499: features and attributes related to product descriptions and specifications,13337: expressions or phrases indicating uncertainty or potential missed opportunities
48,0.1738,7935: mentions of key political figures and their statements or actions,1756:  negative connotations or undesirable qualities associated with actions or events
49,0.1738,15224: terms related to mental health services and community support,3512:  mathematical symbols and notation used in explanations or analyses
50,0.1737,10553: references to military threats and potential risks involving individuals,11240: the presence of dialog-related components and confirmations
51,0.1721,9236: terms related to ultraviolet radiation and its effects on ozone and human health,5812: references to programming languages and relevant code elements
52,0.1708,499: features and attributes related to product descriptions and specifications,6599:  sections of text that contain scientific or technical jargon related to genetics or molecular biology
53,0.1705,3595: elements related to food and dining experiences,9834: mentions of software versions or updates
54,0.1692,6386: terms related to audio processing and effects,12988: technical terms related to structural engineering and materials
55,0.1678,"4814: concepts related to health and well-being, especially in medical contexts",5155:  sequences that resemble structured data or code syntax
56,0.1676,15271:  references to political and corporate deceit or manipulation,5155:  sequences that resemble structured data or code syntax
57,0.1676,13492: numerical data and date representations,6293: elements related to mold removal and cleaning
58,0.1674,15244: identifiers and terms related to governmental and scientific projects,12682: comparative phrases discussing advantages and disadvantages between different entities or options
59,0.167,3064: elements related to personal sharing and emotional expression,"8143: references to institutions, events, and administrative processes, particularly in a bureaucratic context"
60,0.1667,13984:  specific keywords or names related to particular topics or entities,11044: phrases related to criminal activity and societal issues
61,0.165,"5817: features related to downloading and using software applications, particularly VPNs and file managers",4453: HTML tags and related structural elements in the document
62,0.1649,9395: phrases related to strategic planning and development,5155:  sequences that resemble structured data or code syntax
63,0.1648,13676: elements and structures in programming or code syntax,14625: code related to timing operations and exceptions
64,0.164,6770: references to previous studies and methodologies,5812: references to programming languages and relevant code elements
65,0.1638,"13018: specific keywords or titles indicative of various subjects and contexts, such as live events, organizations, and technical processes",6675: code and formatting elements within a document
66,0.1636,5554: names of individuals mentioned in the document,1522: terms related to population dynamics and genetic variation
