,OV Circuit Value,Value Feature,Output Feature
0,0.24,6364: references to educational achievements and milestones,"7479: elements related to formatting or structure, such as citations or references in academic writing"
1,0.2367,"9932: functions and events related to programming, particularly those involving event handling and listener methods",14631:  terms related to procedural steps and algorithms
2,-0.2285,"9932: functions and events related to programming, particularly those involving event handling and listener methods",6733: details related to room features and rental conditions
3,-0.2263,14781: elements related to user interaction and token verification in a digital workspace,14631:  terms related to procedural steps and algorithms
4,0.2211,8813: references to spray drying processes and associated materials,2138:  references to corporate governance and shareholder issues
5,0.2196,14781: elements related to user interaction and token verification in a digital workspace,6733: details related to room features and rental conditions
6,-0.216,1903: expressions of intention or future actions,2138:  references to corporate governance and shareholder issues
7,-0.2107,6052: object properties and their associated methods in programming contexts,15278: keywords related to job postings in the healthcare field
8,0.206,8846: terms related to affordability and value for money,14631:  terms related to procedural steps and algorithms
9,0.2045,7507: numerical data and references related to statistics and measurements,15278: keywords related to job postings in the healthcare field
10,0.2037,755: data structure definitions and memory allocation expressions in code,5986:  procedural or descriptive transitions in text
11,0.2029,1745: questions and mathematical operations involving problem-solving,965:  references to gender equality and disparities
12,-0.2017,8846: terms related to affordability and value for money,6733: details related to room features and rental conditions
13,-0.1986,9295: terms related to programming exceptions and errors in software development,27: technical terms and concepts related to object-role modeling and database queries
14,0.1975,11541:  coding elements related to data parsing and storage operations,27: technical terms and concepts related to object-role modeling and database queries
15,0.1969,9295: terms related to programming exceptions and errors in software development,11639:  mathematical operations and programming constructs related to vector calculations
16,0.1962,6052: object properties and their associated methods in programming contexts,6954: references to boys and masculinity
17,-0.1956,11541:  coding elements related to data parsing and storage operations,11639:  mathematical operations and programming constructs related to vector calculations
18,-0.1904,7507: numerical data and references related to statistics and measurements,6954: references to boys and masculinity
19,-0.1879,1942:  rankings and positions of institutions or programs,965:  references to gender equality and disparities
20,-0.1869,8813: references to spray drying processes and associated materials,"4219:  programming-related syntax and structure, particularly focusing on method calls and definitions"
21,-0.1864,1745: questions and mathematical operations involving problem-solving,11576: terms related to legal documentation and identification processes
22,0.1859,1903: expressions of intention or future actions,"4219:  programming-related syntax and structure, particularly focusing on method calls and definitions"
23,0.179,8846: terms related to affordability and value for money,1539: phrases relating to business growth strategies and positive company outcomes
