,QK Circuit Value,Key Feature,Query Feature
0,1.125,12028: terms related to energy efficiency and the operation of air conditioning systems,13975: distinctive or important identifiers in a dataset
1,1.028,406: issues related to functionality and errors in programming or web development,3673: terms and phrases related to reproductive health and fertility
2,0.9336,3673: terms and phrases related to reproductive health and fertility,406: issues related to functionality and errors in programming or web development
3,0.873,10012: numerical values or statistics related to data analysis,16281: keywords and structure related to programming logic and operations
4,0.8257,13552: information related to scientific methodologies or experimental processes,6304: legal terminology and concepts related to discrimination and harassment cases
5,0.7734,13975: distinctive or important identifiers in a dataset,16281: keywords and structure related to programming logic and operations
6,0.77,1369: descriptive terms related to horror and extreme negative experiences,5109: terms related to stem cell research and differentiation processes
7,0.7534,10012: numerical values or statistics related to data analysis,13552: information related to scientific methodologies or experimental processes
8,0.682,15607: legal terms and references related to courtroom procedures and rights,13552: information related to scientific methodologies or experimental processes
9,0.677,6304: legal terminology and concepts related to discrimination and harassment cases,13975: distinctive or important identifiers in a dataset
10,0.6313,5549: statistical numbers and numerical data related to measurements,5109: terms related to stem cell research and differentiation processes
11,0.5913,16281: keywords and structure related to programming logic and operations,13552: information related to scientific methodologies or experimental processes
12,0.5825,1480: legal terminology related to parental rights and citizenship,13552: information related to scientific methodologies or experimental processes
13,0.582,12028: terms related to energy efficiency and the operation of air conditioning systems,16281: keywords and structure related to programming logic and operations
14,0.547,15108:  concepts and discussions related to health care policies and decision-making processes,6013: scientific terms related to genetic mutations and mathematical concepts
15,0.547,3261: questions related to personal experiences and advice,3673: terms and phrases related to reproductive health and fertility
16,0.515,12028: terms related to energy efficiency and the operation of air conditioning systems,1480: legal terminology related to parental rights and citizenship
17,0.5117,16205:  structured data expressions and command syntax in programming contexts,6304: legal terminology and concepts related to discrimination and harassment cases
18,0.5063,16205:  structured data expressions and command syntax in programming contexts,13975: distinctive or important identifiers in a dataset
19,0.5024,4031:  numerical values and dates in the text,6304: legal terminology and concepts related to discrimination and harassment cases
20,0.496,13552: information related to scientific methodologies or experimental processes,12905:  terms related to computational concepts and scientific terminology
21,0.4924,6304: legal terminology and concepts related to discrimination and harassment cases,12028: terms related to energy efficiency and the operation of air conditioning systems
22,0.4905,8003: sentences that express opinions or reflections on societal issues,16025: opinions and expressions of personal beliefs
23,0.4858,5549: statistical numbers and numerical data related to measurements,1369: descriptive terms related to horror and extreme negative experiences
24,0.4807,3673: terms and phrases related to reproductive health and fertility,4232: medical conditions and associated statistics
25,0.4746,3673: terms and phrases related to reproductive health and fertility,3261: questions related to personal experiences and advice
26,0.472,3261: questions related to personal experiences and advice,406: issues related to functionality and errors in programming or web development
27,0.4565,5109: terms related to stem cell research and differentiation processes,1369: descriptive terms related to horror and extreme negative experiences
28,0.4521,8311:  numerical values and their relationships,91: references to boys
29,0.4438,"4618: references to time, specifically the concept of ""year"" and its variants",5549: statistical numbers and numerical data related to measurements
30,0.4438,3194: information related to news and academic programs,14005: references to scientific research and studies
31,0.4382,406: issues related to functionality and errors in programming or web development,3261: questions related to personal experiences and advice
32,0.4346,3673: terms and phrases related to reproductive health and fertility,8251: references related to social roles and representation
33,0.4287,9567: instances of common nouns and phrases related to food and dining contexts,406: issues related to functionality and errors in programming or web development
34,0.4236,3194: information related to news and academic programs,12646: elements related to legal terminology and formal processes
35,0.423,"4354: HTML tags, specifically bold and italic formatting",6304: legal terminology and concepts related to discrimination and harassment cases
36,0.421,9127: words or phrases that describe strength or capability,573: references to personal experiences and perceptions
37,0.418,6013: scientific terms related to genetic mutations and mathematical concepts,15108:  concepts and discussions related to health care policies and decision-making processes
38,0.4167,3598: terms associated with technical specifications and measurements,"11236:  code-related operations, particularly those involving function calls and return statements"
39,0.4158,8251: references related to social roles and representation,3673: terms and phrases related to reproductive health and fertility
40,0.4097,6409: conditional statements and expressions of uncertainty or potential outcomes,2918: phrases expressing opinions or arguments regarding political issues
41,0.4092,3598: terms associated with technical specifications and measurements,7131:  discourse surrounding mentorship and guidance
42,0.409,7131:  discourse surrounding mentorship and guidance,8251: references related to social roles and representation
43,0.4036,16205:  structured data expressions and command syntax in programming contexts,12028: terms related to energy efficiency and the operation of air conditioning systems
44,0.4036,13020: punctuation marks in the context of the document,8544:  occurrences of special characters or symbols used in code
45,0.3977,9567: instances of common nouns and phrases related to food and dining contexts,3673: terms and phrases related to reproductive health and fertility
46,0.3967,16281: keywords and structure related to programming logic and operations,12905:  terms related to computational concepts and scientific terminology
47,0.3965,406: issues related to functionality and errors in programming or web development,9567: instances of common nouns and phrases related to food and dining contexts
48,0.3894,6409: conditional statements and expressions of uncertainty or potential outcomes,1263: references to population statistics and demographics
49,0.3882,406: issues related to functionality and errors in programming or web development,4232: medical conditions and associated statistics
50,0.3748,1480: legal terminology related to parental rights and citizenship,16281: keywords and structure related to programming logic and operations
51,0.3728,14230: terms related to restoration and recovery,8571:  the presence of temporal expressions indicating current relevance or urgency
52,0.3723,"5829:  punctuation marks, particularly periods and parentheses, signaling the end of statements or clauses",8251: references related to social roles and representation
53,0.3708,10937: network communication operations and protocols,2352: mentions of specific individuals and organizations involved in political or legal contexts
54,0.3691,8311:  numerical values and their relationships,62: responses related to customer feedback or inquiries
55,0.3682,1263: references to population statistics and demographics,6409: conditional statements and expressions of uncertainty or potential outcomes
56,0.3672,16025: opinions and expressions of personal beliefs,12905:  terms related to computational concepts and scientific terminology
57,0.367,16238:  phrases related to structures and mechanisms in technology and science,5549: statistical numbers and numerical data related to measurements
58,0.3667,573: references to personal experiences and perceptions,10937: network communication operations and protocols
59,0.3643,"6601:  the presence of markup or structural elements in programming or technical contexts, such as special characters or formatting indicators",8251: references related to social roles and representation
60,0.364,12905:  terms related to computational concepts and scientific terminology,6304: legal terminology and concepts related to discrimination and harassment cases
61,0.3635,573: references to personal experiences and perceptions,2843: code structure and definitions commonly used in programming
62,0.3584,5549: statistical numbers and numerical data related to measurements,"4618: references to time, specifically the concept of ""year"" and its variants"
63,0.3538,2843: code structure and definitions commonly used in programming,573: references to personal experiences and perceptions
64,0.353,13975: distinctive or important identifiers in a dataset,1480: legal terminology related to parental rights and citizenship
65,0.3516,406: issues related to functionality and errors in programming or web development,6409: conditional statements and expressions of uncertainty or potential outcomes
66,0.351,1369: descriptive terms related to horror and extreme negative experiences,5549: statistical numbers and numerical data related to measurements
67,0.3477,6995: mathematical expressions and symbols,6304: legal terminology and concepts related to discrimination and harassment cases
68,0.3462,7131:  discourse surrounding mentorship and guidance,3598: terms associated with technical specifications and measurements
69,0.3457,16025: opinions and expressions of personal beliefs,7833: terms related to environmentally friendly concepts and components
70,0.3438,15825: terms related to destruction or damaging actions,8571:  the presence of temporal expressions indicating current relevance or urgency
71,0.3435,3598: terms associated with technical specifications and measurements,8251: references related to social roles and representation
72,0.3413,"1749: phrases that describe conditions, requirements, or parameters related to systems or processes",8848:  numerical data and statistics
73,0.34,8848:  numerical data and statistics,11025: technical terms and references related to systems and methodologies in scientific or engineering contexts
74,0.3394,14732: technical terms and specific components of systems and structures,11468: full stops or periods
75,0.3372,16025: opinions and expressions of personal beliefs,"10168:  the presence of the name ""Don"""
76,0.337,"7868: terms related to medical and laboratory equipment, processes, and measurements",5549: statistical numbers and numerical data related to measurements
77,0.3364,"10168:  the presence of the name ""Don""",16025: opinions and expressions of personal beliefs
78,0.334,212: elements related to research proposals and scientific inquiry,8544:  occurrences of special characters or symbols used in code
79,0.3325,"15177:  phrases that indicate claims, allegations, or announcements regarding new developments or observations",91: references to boys
80,0.33,4404: XML or HTML tags and their attributes in the document,11425: mathematical expressions and notation
81,0.3271,15108:  concepts and discussions related to health care policies and decision-making processes,"6601:  the presence of markup or structural elements in programming or technical contexts, such as special characters or formatting indicators"
82,0.327,573: references to personal experiences and perceptions,3598: terms associated with technical specifications and measurements
83,0.3264,10729: conjunctions and transitional phrases that indicate contrasts or relationships between ideas,14071: punctuation marks and numerical values in the text
84,0.324,2871: references to the quantity or degree of something,8571:  the presence of temporal expressions indicating current relevance or urgency
85,0.323,6446: financial terms and concepts related to taxes and accounting,8251: references related to social roles and representation
86,0.3228,1640: geographical locations and their coordinates,6304: legal terminology and concepts related to discrimination and harassment cases
87,0.3218,15108:  concepts and discussions related to health care policies and decision-making processes,8251: references related to social roles and representation
88,0.3203,6409: conditional statements and expressions of uncertainty or potential outcomes,406: issues related to functionality and errors in programming or web development
89,0.3196,"11236:  code-related operations, particularly those involving function calls and return statements",3598: terms associated with technical specifications and measurements
90,0.3184,4230: terms related to weddings and marriage ceremonies,"321: mathematical symbols and references to scientific notation, particularly involving complex variables and relations in research contexts"
91,0.317,5549: statistical numbers and numerical data related to measurements,"7868: terms related to medical and laboratory equipment, processes, and measurements"
92,0.3167,2843: code structure and definitions commonly used in programming,10937: network communication operations and protocols
93,0.3154,14348: escape characters and line breaks in code-related contexts,8571:  the presence of temporal expressions indicating current relevance or urgency
94,0.315,3194: information related to news and academic programs,1565:  technical terminology related to data analysis and features
95,0.3142,5549: statistical numbers and numerical data related to measurements,"5176: terms and phrases related to computing, data processing, and technology"
96,0.314,1369: descriptive terms related to horror and extreme negative experiences,2675: statements about the presence or existence of various options or benefits
97,0.3118,4232: medical conditions and associated statistics,11425: mathematical expressions and notation
98,0.31,406: issues related to functionality and errors in programming or web development,2918: phrases expressing opinions or arguments regarding political issues
99,0.31,13020: punctuation marks in the context of the document,8606: patterns related to date and time formatting
100,0.3088,16025: opinions and expressions of personal beliefs,8003: sentences that express opinions or reflections on societal issues
101,0.307,4232: medical conditions and associated statistics,3673: terms and phrases related to reproductive health and fertility
102,0.3064,4232: medical conditions and associated statistics,4404: XML or HTML tags and their attributes in the document
103,0.306,11425: mathematical expressions and notation,4404: XML or HTML tags and their attributes in the document
104,0.304,11425: mathematical expressions and notation,4232: medical conditions and associated statistics
105,0.304,1369: descriptive terms related to horror and extreme negative experiences,8251: references related to social roles and representation
106,0.3032,"6601:  the presence of markup or structural elements in programming or technical contexts, such as special characters or formatting indicators",4232: medical conditions and associated statistics
107,0.3027,"5176: terms and phrases related to computing, data processing, and technology",5549: statistical numbers and numerical data related to measurements
108,0.302,11025: technical terms and references related to systems and methodologies in scientific or engineering contexts,8848:  numerical data and statistics
109,0.301,15629: phrases related to outcomes and their implications,8571:  the presence of temporal expressions indicating current relevance or urgency
110,0.3005,5467:  variables and parameters related to data and experimental results,8848:  numerical data and statistics
111,0.3003,789: UI components and layout elements in programming code,8251: references related to social roles and representation
112,0.2996,8251: references related to social roles and representation,10934: terms related to consistency and reliability
113,0.2986,12028: terms related to energy efficiency and the operation of air conditioning systems,15607: legal terms and references related to courtroom procedures and rights
114,0.298,8251: references related to social roles and representation,7131:  discourse surrounding mentorship and guidance
115,0.296,3673: terms and phrases related to reproductive health and fertility,9567: instances of common nouns and phrases related to food and dining contexts
116,0.296,13975: distinctive or important identifiers in a dataset,12028: terms related to energy efficiency and the operation of air conditioning systems
117,0.294,3511: references to Disney and its associated characters or franchises,8848:  numerical data and statistics
118,0.2935,10937: network communication operations and protocols,14620: mathematical symbols and expressions related to functions and operations
119,0.293,3673: terms and phrases related to reproductive health and fertility,4280: mathematical or scientific notation related to variables or parameters in equations
120,0.2915,"4618: references to time, specifically the concept of ""year"" and its variants",2989: statistical significance indicators in research findings
121,0.2908,406: issues related to functionality and errors in programming or web development,11425: mathematical expressions and notation
122,0.2905,2918: phrases expressing opinions or arguments regarding political issues,406: issues related to functionality and errors in programming or web development
123,0.2898,11468: full stops or periods,9257: mathematical and scientific terminology related to receptor functions and signaling pathways
124,0.2893,"1791: references to quantities or articles, specifically indefinite articles and their variations in different languages",12905:  terms related to computational concepts and scientific terminology
125,0.2886,5109: terms related to stem cell research and differentiation processes,5549: statistical numbers and numerical data related to measurements
126,0.2886,15607: legal terms and references related to courtroom procedures and rights,1480: legal terminology related to parental rights and citizenship
127,0.2883,15108:  concepts and discussions related to health care policies and decision-making processes,16025: opinions and expressions of personal beliefs
128,0.2876,5109: terms related to stem cell research and differentiation processes,12905:  terms related to computational concepts and scientific terminology
129,0.2864,1565:  technical terminology related to data analysis and features,8606: patterns related to date and time formatting
130,0.286,6055: politically charged language surrounding government actions and controversies,1565:  technical terminology related to data analysis and features
131,0.2852,8251: references related to social roles and representation,4102:  code-related keywords
132,0.2852,6409: conditional statements and expressions of uncertainty or potential outcomes,12510: emphasized phrases and transitional words that guide the flow of information in a text
133,0.285,5764: symbols and punctuation marks that indicate changes in data or versioning,16025: opinions and expressions of personal beliefs
134,0.2844,14910:  CSS properties and values related to layout and positioning,6304: legal terminology and concepts related to discrimination and harassment cases
135,0.2842,5677: references to actions or decisions related to judgments or assessments,5549: statistical numbers and numerical data related to measurements
136,0.2834,16025: opinions and expressions of personal beliefs,13106: references to criminal activity and legal proceedings
137,0.2834,3673: terms and phrases related to reproductive health and fertility,14318:  terminology related to surgical procedures and outcomes
138,0.2827,573: references to personal experiences and perceptions,2352: mentions of specific individuals and organizations involved in political or legal contexts
139,0.2822,"6601:  the presence of markup or structural elements in programming or technical contexts, such as special characters or formatting indicators",15108:  concepts and discussions related to health care policies and decision-making processes
140,0.2817,"6601:  the presence of markup or structural elements in programming or technical contexts, such as special characters or formatting indicators",3598: terms associated with technical specifications and measurements
141,0.2815,2843: code structure and definitions commonly used in programming,2352: mentions of specific individuals and organizations involved in political or legal contexts
142,0.281,"9818:  occurrences of the term ""Exception"" and related error handling keywords",8251: references related to social roles and representation
143,0.2808,4232: medical conditions and associated statistics,16135: references to null or nonexistent values in programming contexts
144,0.2808,96: informational elements and specifics related to chemical compounds and classification,8848:  numerical data and statistics
145,0.2803,3194: information related to news and academic programs,8606: patterns related to date and time formatting
146,0.28,4536:  specific programming keywords and technical terminology,16025: opinions and expressions of personal beliefs
147,0.2795,7173:  instances of repeated phrases or structures in a text,"321: mathematical symbols and references to scientific notation, particularly involving complex variables and relations in research contexts"
148,0.2786,4404: XML or HTML tags and their attributes in the document,4232: medical conditions and associated statistics
149,0.2786,5549: statistical numbers and numerical data related to measurements,10848: information related to age and life experiences
150,0.277,3194: information related to news and academic programs,10579: phrases and terms associated with personal connections and emotional experiences
151,0.277,8822: highly technical and mathematical terminology related to algebraic geometry and abstract algebra concepts,2989: statistical significance indicators in research findings
152,0.2744,8251: references related to social roles and representation,3598: terms associated with technical specifications and measurements
153,0.2732,3261: questions related to personal experiences and advice,3598: terms associated with technical specifications and measurements
154,0.2722,"4594: terms related to technology and infrastructure, particularly focusing on hardware, reliability, security, and associated costs",14071: punctuation marks and numerical values in the text
155,0.2722,8003: sentences that express opinions or reflections on societal issues,"10168:  the presence of the name ""Don"""
156,0.2715,7421: mention of fishing-related terms and phrases,8003: sentences that express opinions or reflections on societal issues
157,0.27,5549: statistical numbers and numerical data related to measurements,"2749: legal references, case citations, and procedural terminology"
158,0.27,"13396:  structured data formats, specifically key-value pairs and data type definitions in programming contexts",12905:  terms related to computational concepts and scientific terminology
159,0.2686,16281: keywords and structure related to programming logic and operations,16025: opinions and expressions of personal beliefs
160,0.268,3598: terms associated with technical specifications and measurements,2843: code structure and definitions commonly used in programming
161,0.2673,3598: terms associated with technical specifications and measurements,"9818:  occurrences of the term ""Exception"" and related error handling keywords"
162,0.2673,4487: scheduled events and their timings,3673: terms and phrases related to reproductive health and fertility
163,0.267,13020: punctuation marks in the context of the document,1763: technical scientific terminology and units of measurement
164,0.267,8251: references related to social roles and representation,"6601:  the presence of markup or structural elements in programming or technical contexts, such as special characters or formatting indicators"
165,0.2668,4031:  numerical values and dates in the text,13552: information related to scientific methodologies or experimental processes
166,0.2666,16135: references to null or nonexistent values in programming contexts,4232: medical conditions and associated statistics
167,0.2664,3598: terms associated with technical specifications and measurements,3673: terms and phrases related to reproductive health and fertility
168,0.266,5652: special formatting elements or structures in the text,3598: terms associated with technical specifications and measurements
169,0.2656,16025: opinions and expressions of personal beliefs,"1791: references to quantities or articles, specifically indefinite articles and their variations in different languages"
170,0.2656,8251: references related to social roles and representation,4271: medical terminology related to symptoms and health conditions
171,0.265,9127: words or phrases that describe strength or capability,2843: code structure and definitions commonly used in programming
172,0.264,212: elements related to research proposals and scientific inquiry,8606: patterns related to date and time formatting
173,0.2627,15108:  concepts and discussions related to health care policies and decision-making processes,10714:  phrases related to commitment and purpose
174,0.2625,91: references to boys,13975: distinctive or important identifiers in a dataset
175,0.2625,12028: terms related to energy efficiency and the operation of air conditioning systems,10012: numerical values or statistics related to data analysis
176,0.2622,7008: punctuation marks and commas in the text,"10168:  the presence of the name ""Don"""
177,0.2622,406: issues related to functionality and errors in programming or web development,13025: technical terms related to Java servlets and RESTful web services
178,0.261,797:  measurements and evaluations related to health and disease conditions,13552: information related to scientific methodologies or experimental processes
179,0.2607,9257: mathematical and scientific terminology related to receptor functions and signaling pathways,11468: full stops or periods
180,0.2607,1369: descriptive terms related to horror and extreme negative experiences,8544:  occurrences of special characters or symbols used in code
181,0.2605,8311:  numerical values and their relationships,11425: mathematical expressions and notation
182,0.26,4232: medical conditions and associated statistics,406: issues related to functionality and errors in programming or web development
183,0.2595,8848:  numerical data and statistics,"1749: phrases that describe conditions, requirements, or parameters related to systems or processes"
184,0.2595,2439: discussions about political scenarios and consequences,8003: sentences that express opinions or reflections on societal issues
185,0.2593,8251: references related to social roles and representation,4232: medical conditions and associated statistics
186,0.259,7131:  discourse surrounding mentorship and guidance,3673: terms and phrases related to reproductive health and fertility
187,0.2576,3673: terms and phrases related to reproductive health and fertility,7131:  discourse surrounding mentorship and guidance
188,0.257,6304: legal terminology and concepts related to discrimination and harassment cases,91: references to boys
189,0.2566,5764: symbols and punctuation marks that indicate changes in data or versioning,5109: terms related to stem cell research and differentiation processes
190,0.2559,3673: terms and phrases related to reproductive health and fertility,16135: references to null or nonexistent values in programming contexts
191,0.2556,16025: opinions and expressions of personal beliefs,5764: symbols and punctuation marks that indicate changes in data or versioning
192,0.2556,8251: references related to social roles and representation,691: names of people and their associations
193,0.2546,10934: terms related to consistency and reliability,8251: references related to social roles and representation
194,0.2544,3673: terms and phrases related to reproductive health and fertility,4116: key terms related to genetic traits and population genetics
195,0.2544,3598: terms associated with technical specifications and measurements,"6601:  the presence of markup or structural elements in programming or technical contexts, such as special characters or formatting indicators"
196,0.2542,10729: conjunctions and transitional phrases that indicate contrasts or relationships between ideas,15801: references to authors or researchers in academic citations
197,0.2542,3598: terms associated with technical specifications and measurements,10848: information related to age and life experiences
198,0.2542,3598: terms associated with technical specifications and measurements,14523: references to seating and spots in various contexts
199,0.254,4280: mathematical or scientific notation related to variables or parameters in equations,3673: terms and phrases related to reproductive health and fertility
200,0.254,3261: questions related to personal experiences and advice,8251: references related to social roles and representation
