,OV Circuit Value,Value Feature,Output Feature
0,1.732,2085: code snippets related to data insertion operations,"2785: references to the city of Boston and its related entities, particularly in the context of films and organizations"
1,-1.647,8069: specific terms related to legal and organizational frameworks,"2785: references to the city of Boston and its related entities, particularly in the context of films and organizations"
2,1.369,14814: terms related to governmental and legal exemptions and regulatory processes,14977: segments of code related to string manipulation and parsing
3,-1.338,6449: structured formatting or coding elements,5513: references to reviews and feedback processes
4,-1.335,"7753: nothing relevant in the text, as all activation values are zero",14977: segments of code related to string manipulation and parsing
5,-1.328,10563: scientific notation or mathematical variables and constants,11667: phrases indicating relationships or comparisons
6,1.314,9810: specific chemical and biological terms related to medicinal and therapeutic properties,11667: phrases indicating relationships or comparisons
7,-1.308,14366:  mathematical symbols and expressions,9060: specific entities and their relationships within a content context
8,1.262,14679: references to academic journals,6754: medical terminology related to epilepsy or seizure disorders
9,1.259,6449: structured formatting or coding elements,13451: terms related to destruction and annihilation
10,-1.229,12388: terms related to aesthetics and decorative elements,6754: medical terminology related to epilepsy or seizure disorders
11,1.222,14729: expressions of positive emotions and announcements related to achievements or collaboration,8364: references to data structures and properties in programming contexts
12,1.215,7147: conditional and equality statements within code,10080:  specific tokens or code structures in the text
13,1.214,10563: scientific notation or mathematical variables and constants,6912: words and phrases related to announcements or statements
14,-1.201,10563: scientific notation or mathematical variables and constants,15684: phrases related to digital functionality and operational parameters
15,-1.197,9810: specific chemical and biological terms related to medicinal and therapeutic properties,6912: words and phrases related to announcements or statements
16,1.179,9810: specific chemical and biological terms related to medicinal and therapeutic properties,15684: phrases related to digital functionality and operational parameters
17,-1.166,8636: references to ages and dates of birth or death,15684: phrases related to digital functionality and operational parameters
18,-1.165,7147: conditional and equality statements within code,9555: names of places or historical terms related to specific geographic locations
19,1.146,12962: legal terminology and references to court cases,9060: specific entities and their relationships within a content context
20,-1.116,12899: specific locations and cultural attributes related to tourism,8364: references to data structures and properties in programming contexts
21,-1.107,8636: references to ages and dates of birth or death,10080:  specific tokens or code structures in the text
22,1.106,7147: conditional and equality statements within code,15684: phrases related to digital functionality and operational parameters
23,-1.101,2085: code snippets related to data insertion operations,"4341: technical terms, variables, and references in programming and documentation contexts"
24,1.091,8636: references to ages and dates of birth or death,6912: words and phrases related to announcements or statements
25,1.086,728: sections of text punctuated by slashes or dividers,5513: references to reviews and feedback processes
26,1.071,8069: specific terms related to legal and organizational frameworks,"4341: technical terms, variables, and references in programming and documentation contexts"
27,1.068,8636: references to ages and dates of birth or death,9555: names of places or historical terms related to specific geographic locations
28,1.048,1281: specific phrases or indicators of causation and conditions surrounding events,6303: events related to legal testimonies and court proceedings
29,1.04,"7753: nothing relevant in the text, as all activation values are zero",10033: repeated structures or patterns within the text
30,-1.035,14814: terms related to governmental and legal exemptions and regulatory processes,10033: repeated structures or patterns within the text
31,-1.034,7147: conditional and equality statements within code,6912: words and phrases related to announcements or statements
32,1.032,14814: terms related to governmental and legal exemptions and regulatory processes,5812:  numerical data and financial figures
33,-1.03,1281: specific phrases or indicators of causation and conditions surrounding events,8748: terms related to legal and patent issues
34,-1.029,"7753: nothing relevant in the text, as all activation values are zero",5812:  numerical data and financial figures
35,-1.02,728: sections of text punctuated by slashes or dividers,13451: terms related to destruction and annihilation
36,-1.017,10623:  connections between conditional phrases and possible outcomes,15571:  expressions related to mathematical concepts and formulas
37,1.014,4123:  phrases related to judicial or legal processes and their outcomes,15571:  expressions related to mathematical concepts and formulas
38,1.006,10623:  connections between conditional phrases and possible outcomes,7316: terms related to experimental controls and data comparisons in scientific research
39,1.006,15584: terms related to academic or professional processes and documentation,14977: segments of code related to string manipulation and parsing
40,1.002,8940:  phrases that indicate statements of value or personal opinion,9060: specific entities and their relationships within a content context
41,-0.998,4123:  phrases related to judicial or legal processes and their outcomes,7316: terms related to experimental controls and data comparisons in scientific research
42,-0.996,10563: scientific notation or mathematical variables and constants,227:  specific technical terms and attributes related to code structure and programming concepts
43,0.9937,9810: specific chemical and biological terms related to medicinal and therapeutic properties,227:  specific technical terms and attributes related to code structure and programming concepts
44,0.9917,"7753: nothing relevant in the text, as all activation values are zero",1511: beginning or opening phrases or tags in text
45,-0.989,14814: terms related to governmental and legal exemptions and regulatory processes,1511: beginning or opening phrases or tags in text
46,-0.9805,4264: quantitative comparisons and expressions regarding abundance or scarcity,6303: events related to legal testimonies and court proceedings
47,0.9756,2119: elements related to systematic processes or methodologies in various contexts,5920: geographical and administrative information about places
48,0.9663,10623:  connections between conditional phrases and possible outcomes,13701: comments and documentation within code
49,0.9663,4264: quantitative comparisons and expressions regarding abundance or scarcity,8748: terms related to legal and patent issues
50,-0.963,3509: references to notable legal cases and related terms,630: elements related to risks and safety in various contexts
51,-0.955,4123:  phrases related to judicial or legal processes and their outcomes,13701: comments and documentation within code
52,0.9307,14366:  mathematical symbols and expressions,6800: specific dates and times
53,0.9263,18: terms related to food and culinary subjects,5513: references to reviews and feedback processes
54,0.8984,"15454: content related to governance, policy, and ethical considerations in research and technology",16196: 
55,-0.8975,10623:  connections between conditional phrases and possible outcomes,3752:  terms related to social responsibility and emotional processes
56,0.886,4123:  phrases related to judicial or legal processes and their outcomes,3752:  terms related to social responsibility and emotional processes
57,-0.8765,14679: references to academic journals,2097: phrases that indicate a sense of urgency or the necessity for action
58,-0.8735,2119: elements related to systematic processes or methodologies in various contexts,1817: numeric values and their associated parameters in structured data formats
59,-0.871,18: terms related to food and culinary subjects,13451: terms related to destruction and annihilation
60,0.866,14955: information related to ticket pricing and event details,13701: comments and documentation within code
61,0.8643,12388: terms related to aesthetics and decorative elements,2097: phrases that indicate a sense of urgency or the necessity for action
62,0.8643,3509: references to notable legal cases and related terms,6526: terms related to collaborative efforts and community involvement in addressing social issues
63,-0.8584,13701: information related to immune system interactions and their implications in various medical contexts,13701: comments and documentation within code
64,-0.85,14814: terms related to governmental and legal exemptions and regulatory processes,"14491: instances of sharing or caring interactions, particularly during child-rearing moments"
65,0.848,"7753: nothing relevant in the text, as all activation values are zero","14491: instances of sharing or caring interactions, particularly during child-rearing moments"
66,-0.844,14269:  references to government budgets and financial decisions,5920: geographical and administrative information about places
67,0.843,16335: elements related to multimedia content and design,"6711:  keywords related to legal and legislative discussions, particularly around marriage equality and voting"
68,0.843,242:  conjunctions and related terms that indicate addition or connection,"12168: meta-analytical reflections on progress, purpose, and societal issues"
69,-0.828,12917: phrases related to admiration and obsession,10527:  references to quantitative assessments or classifications
70,-0.8267,13745: technical terminology related to research and industrial applications,630: elements related to risks and safety in various contexts
71,0.826,"8514: sentences that discuss societal issues and personal challenges, particularly those pertaining to family dynamics and parenting",10527:  references to quantitative assessments or classifications
72,-0.8105,13701: information related to immune system interactions and their implications in various medical contexts,8858:  quotes and attributes related to AngularJS and Bootstrap components
73,-0.8076,14955: information related to ticket pricing and event details,3752:  terms related to social responsibility and emotional processes
74,0.803,12917: phrases related to admiration and obsession,4094:  specific data entries or references that indicate academic or scientific information
75,-0.8003,14679: references to academic journals,2260: events related to emergencies and official statements regarding incidents
76,0.8,13701: information related to immune system interactions and their implications in various medical contexts,3752:  terms related to social responsibility and emotional processes
77,0.7983,14955: information related to ticket pricing and event details,8858:  quotes and attributes related to AngularJS and Bootstrap components
78,0.797,12917: phrases related to admiration and obsession,4186: reported speech or statements made by individuals
